project,release,maven_reuse,maven_release,class_count,cbo_sum,cbo_average,cbo_stdev,cbo_median,cbo_min,cbo_max,nosi_sum,nosi_average,nosi_stdev,nosi_median,nosi_min,nosi_max,anonymousClassesQty_sum,anonymousClassesQty_average,anonymousClassesQty_stdev,anonymousClassesQty_median,anonymousClassesQty_min,anonymousClassesQty_max,stringLiteralsQty_sum,stringLiteralsQty_average,stringLiteralsQty_stdev,stringLiteralsQty_median,stringLiteralsQty_min,stringLiteralsQty_max,loc_sum,loc_average,loc_stdev,loc_median,loc_min,loc_max,lcc_sum,lcc_average,lcc_stdev,lcc_median,lcc_min,lcc_max,logStatementsQty_sum,logStatementsQty_average,logStatementsQty_stdev,logStatementsQty_median,logStatementsQty_min,logStatementsQty_max,staticMethodsQty_sum,staticMethodsQty_average,staticMethodsQty_stdev,staticMethodsQty_median,staticMethodsQty_min,staticMethodsQty_max,synchronizedFieldsQty_sum,synchronizedFieldsQty_average,synchronizedFieldsQty_stdev,synchronizedFieldsQty_median,synchronizedFieldsQty_min,synchronizedFieldsQty_max,numbersQty_sum,numbersQty_average,numbersQty_stdev,numbersQty_median,numbersQty_min,numbersQty_max,lcom_sum,lcom_average,lcom_stdev,lcom_median,lcom_min,lcom_max,finalFieldsQty_sum,finalFieldsQty_average,finalFieldsQty_stdev,finalFieldsQty_median,finalFieldsQty_min,finalFieldsQty_max,loopQty_sum,loopQty_average,loopQty_stdev,loopQty_median,loopQty_min,loopQty_max,protectedFieldsQty_sum,protectedFieldsQty_average,protectedFieldsQty_stdev,protectedFieldsQty_median,protectedFieldsQty_min,protectedFieldsQty_max,returnQty_sum,returnQty_average,returnQty_stdev,returnQty_median,returnQty_min,returnQty_max,staticFieldsQty_sum,staticFieldsQty_average,staticFieldsQty_stdev,staticFieldsQty_median,staticFieldsQty_min,staticFieldsQty_max,variablesQty_sum,variablesQty_average,variablesQty_stdev,variablesQty_median,variablesQty_min,variablesQty_max,tryCatchQty_sum,tryCatchQty_average,tryCatchQty_stdev,tryCatchQty_median,tryCatchQty_min,tryCatchQty_max,modifiers_sum,modifiers_average,modifiers_stdev,modifiers_median,modifiers_min,modifiers_max,publicFieldsQty_sum,publicFieldsQty_average,publicFieldsQty_stdev,publicFieldsQty_median,publicFieldsQty_min,publicFieldsQty_max,privateFieldsQty_sum,privateFieldsQty_average,privateFieldsQty_stdev,privateFieldsQty_median,privateFieldsQty_min,privateFieldsQty_max,uniqueWordsQty_sum,uniqueWordsQty_average,uniqueWordsQty_stdev,uniqueWordsQty_median,uniqueWordsQty_min,uniqueWordsQty_max,protectedMethodsQty_sum,protectedMethodsQty_average,protectedMethodsQty_stdev,protectedMethodsQty_median,protectedMethodsQty_min,protectedMethodsQty_max,totalFieldsQty_sum,totalFieldsQty_average,totalFieldsQty_stdev,totalFieldsQty_median,totalFieldsQty_min,totalFieldsQty_max,defaultFieldsQty_sum,defaultFieldsQty_average,defaultFieldsQty_stdev,defaultFieldsQty_median,defaultFieldsQty_min,defaultFieldsQty_max,innerClassesQty_sum,innerClassesQty_average,innerClassesQty_stdev,innerClassesQty_median,innerClassesQty_min,innerClassesQty_max,assignmentsQty_sum,assignmentsQty_average,assignmentsQty_stdev,assignmentsQty_median,assignmentsQty_min,assignmentsQty_max,abstractMethodsQty_sum,abstractMethodsQty_average,abstractMethodsQty_stdev,abstractMethodsQty_median,abstractMethodsQty_min,abstractMethodsQty_max,comparisonsQty_sum,comparisonsQty_average,comparisonsQty_stdev,comparisonsQty_median,comparisonsQty_min,comparisonsQty_max,maxNestedBlocksQty_sum,maxNestedBlocksQty_average,maxNestedBlocksQty_stdev,maxNestedBlocksQty_median,maxNestedBlocksQty_min,maxNestedBlocksQty_max,finalMethodsQty_sum,finalMethodsQty_average,finalMethodsQty_stdev,finalMethodsQty_median,finalMethodsQty_min,finalMethodsQty_max,lambdasQty_sum,lambdasQty_average,lambdasQty_stdev,lambdasQty_median,lambdasQty_min,lambdasQty_max,tcc_sum,tcc_average,tcc_stdev,tcc_median,tcc_min,tcc_max,rfc_sum,rfc_average,rfc_stdev,rfc_median,rfc_min,rfc_max,totalMethodsQty_sum,totalMethodsQty_average,totalMethodsQty_stdev,totalMethodsQty_median,totalMethodsQty_min,totalMethodsQty_max,synchronizedMethodsQty_sum,synchronizedMethodsQty_average,synchronizedMethodsQty_stdev,synchronizedMethodsQty_median,synchronizedMethodsQty_min,synchronizedMethodsQty_max,parenthesizedExpsQty_sum,parenthesizedExpsQty_average,parenthesizedExpsQty_stdev,parenthesizedExpsQty_median,parenthesizedExpsQty_min,parenthesizedExpsQty_max,dit_sum,dit_average,dit_stdev,dit_median,dit_min,dit_max,visibleFieldsQty_sum,visibleFieldsQty_average,visibleFieldsQty_stdev,visibleFieldsQty_median,visibleFieldsQty_min,visibleFieldsQty_max,publicMethodsQty_sum,publicMethodsQty_average,publicMethodsQty_stdev,publicMethodsQty_median,publicMethodsQty_min,publicMethodsQty_max,defaultMethodsQty_sum,defaultMethodsQty_average,defaultMethodsQty_stdev,defaultMethodsQty_median,defaultMethodsQty_min,defaultMethodsQty_max,privateMethodsQty_sum,privateMethodsQty_average,privateMethodsQty_stdev,privateMethodsQty_median,privateMethodsQty_min,privateMethodsQty_max,wmc_sum,wmc_average,wmc_stdev,wmc_median,wmc_min,wmc_max,mathOperationsQty_sum,mathOperationsQty_average,mathOperationsQty_stdev,mathOperationsQty_median,mathOperationsQty_min,mathOperationsQty_max
aalto-xml,1.0.0,23,"Nov, 2015",158,962,6.088607595,6.154465777,4,0,35,1135,7.183544304,29.24720872,1,0,358,0,0,0,0,0,0,1775,11.23417722,18.913537,4,0,105,34195,216.4240506,542.6193877,67,0,4011,-3,-0.020134228,0.140933119,0,-1,0,0,0,0,0,0,0,133,0.841772152,1.883627588,0,0,12,0,0,0,0,0,0,5759,36.44936709,101.3527954,5,0,642,27238,172.3924051,802.7831829,5,0,7551,604,3.82278481,10.0378386,1,0,100,603,3.816455696,10.61295843,0,0,78,156,0.987341772,2.52878295,0,0,18,2324,14.70886076,41.72312496,4,0,345,922,5.835443038,12.70481165,2,0,116,3672,23.24050633,41.83108745,9,0,262,163,1.03164557,2.959215092,0,0,26,21934,138.8227848,338.512285,17,0,1025,504,3.189873418,10.2597798,0,0,100,152,0.962025316,4.769710798,0,0,44,17115,108.3227848,112.4644187,65.5,0,586,523,3.310126582,8.248452392,0,0,48,18,0.113924051,0.748456446,0,0,8,349,2.208860759,10.98583558,0,0,116,16,0.101265823,0.342152672,0,0,2,7872,49.82278481,133.1677511,12.5,0,989,1900,12.02531646,19.64329981,5.5,0,132,2833,17.93037975,54.52144054,3,0,423,329,2.082278481,1.719002784,2,0,7,124,0.784810127,3.256237077,0,0,28,0,0,0,0,0,0,-3,-0.020134228,0.140933119,0,-1,0,2782,17.60759494,25.72090167,9,0,131,2165,13.70253165,21.10619479,6,0,137,514,3.253164557,11.6421903,0,0,114,1744,11.03797468,34.34127822,0,0,258,325,2.056962025,1.163366906,2,0,5,265,1.67721519,4.011558122,0,0,36,1324,8.379746835,15.20250046,4,0,119,39,0.246835443,0.692881998,0,0,5,279,1.765822785,3.690524485,0,0,24,9362,59.25316456,158.9068123,14.5,0,1163,1660,10.50632911,29.26852331,2,0,231
airline,0.7,48,"Nov, 2014",135,552,4.088888889,4.931571556,3,0,29,224,1.659259259,5.519521614,0,0,40,17,0.125925926,0.684907986,0,0,7,1327,9.82962963,32.49099548,3,0,315,3541,26.22962963,45.36994546,6,0,194,-51,-0.579545455,0.496460828,-1,-1,0,2,0.014814815,0.121261109,0,0,1,42,0.311111111,1.102687806,0,0,9,0,0,0,0,0,0,242,1.792592593,7.737383854,0,0,61,1823,13.5037037,87.45872153,0,0,739,97,0.718518519,1.637489213,0,0,9,56,0.414814815,1.467992767,0,0,10,87,0.644444444,1.677180766,0,0,9,258,1.911111111,4.388701006,1,0,27,266,1.97037037,2.992380226,1,0,27,532,3.940740741,6.284027327,2,0,34,10,0.074074074,0.554891809,0,0,5,1484,10.99259259,88.70742589,1,-1,1033,6,0.044444444,0.24023206,0,0,2,174,1.288888889,2.755907269,1,0,27,2498,18.5037037,23.36181157,10,0,140,0,0,0,0,0,0,0,0,0,0,0,0,5,0.037037037,0.430331483,0,0,5,48,0.355555556,1.694885488,0,0,17,531,3.933333333,8.289716701,1,0,53,330,2.444444444,5.155299645,1,0,35,105,0.777777778,2.636332444,0,0,17,58,0.42962963,1.075790169,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,-51,-0.579545455,0.496460828,-1,-1,0,938,6.948148148,13.21030721,1,0,64,366,2.711111111,5.692187192,1,0,39,0,0,0,0,0,0,13,0.096296296,0.571383162,0,0,4,199,1.474074074,1.460063532,1,0,14,0,0,0,0,0,0,321,2.377777778,5.143996162,1,0,35,9,0.066666667,0.250372856,0,0,1,36,0.266666667,0.947896335,0,0,7,651,4.822222222,10.00661473,1,0,52,69,0.511111111,1.97698197,0,0,14
akka-actor,2.5.23,208,"Jun, 2019",2965,17280,5.827993255,7.032080829,3,0,39,6752,2.277234401,5.673473129,0,0,92,670,0.225969646,1.131770426,0,0,34,5810,1.959527825,8.483276064,0,0,239,373328,125.9116358,656.2414174,11,0,16208,-397,-0.217653509,0.412763692,0,-1,0,181,0.061045531,0.436968593,0,0,7,3950,1.332209106,3.764480545,0,0,53,0,0,0,0,0,0,20503,6.915008432,19.03677971,0,0,379,226977,76.55210793,305.9818929,0,0,8598,2796,0.943001686,2.126988019,0,0,55,903,0.30455312,1.683650496,0,0,58,4186,1.411804384,3.470921565,0,0,53,20169,6.802360877,15.0163674,1,0,177,6274,2.116020236,4.350535087,0,0,64,16805,5.667790894,14.22258679,1,0,409,578,0.194940978,0.600079874,0,0,13,95111,32.07790894,157.3575218,1,-1,1033,2251,0.759190556,2.910151508,0,0,53,1297,0.437436762,1.222766012,0,0,18,98033,33.06340641,56.18073807,12,0,1112,954,0.321753794,0.910844635,0,0,10,11,0.003709949,0.105450628,0,0,5,28,0.009443508,0.23646604,0,0,10,1777,0.599325464,2.569414113,0,0,48,27671,9.332546374,22.29844579,1,0,565,20429,6.89005059,12.18423237,1,0,135,8629,2.910286678,9.747350522,0,0,224,2137,0.72074199,1.257739115,0,0,10,45,0.015177066,0.386302689,0,0,20,1608,0.54232715,2.337422045,0,0,48,-397,-0.217653509,0.412763692,0,-1,0,30751,10.37133221,18.88167363,1,0,217,22495,7.586846543,13.67862887,1,0,152,1248,0.420910624,1.178230269,0,0,21,8753,2.952107926,11.4992988,0,0,428,6509,2.195278246,3.34679807,1,0,71,763,0.257335582,1.150698455,0,0,39,16936,5.711973019,11.4375619,1,0,134,2136,0.720404722,2.677013634,0,0,42,2469,0.832715008,1.887796115,0,0,17,40744,13.74165261,31.05248977,2,0,630,1348,0.454637437,4.703745196,0,0,215
akka-slf4j,2.5.23,135,"Jun, 2019",2965,17280,5.827993255,7.032080829,3,0,39,6752,2.277234401,5.673473129,0,0,92,670,0.225969646,1.131770426,0,0,34,5810,1.959527825,8.483276064,0,0,239,373328,125.9116358,656.2414174,11,0,16208,-397,-0.217653509,0.412763692,0,-1,0,181,0.061045531,0.436968593,0,0,7,3950,1.332209106,3.764480545,0,0,53,0,0,0,0,0,0,20503,6.915008432,19.03677971,0,0,379,226977,76.55210793,305.9818929,0,0,8598,2796,0.943001686,2.126988019,0,0,55,903,0.30455312,1.683650496,0,0,58,4186,1.411804384,3.470921565,0,0,53,20169,6.802360877,15.0163674,1,0,177,6274,2.116020236,4.350535087,0,0,64,16805,5.667790894,14.22258679,1,0,409,578,0.194940978,0.600079874,0,0,13,95111,32.07790894,157.3575218,1,-1,1033,2251,0.759190556,2.910151508,0,0,53,1297,0.437436762,1.222766012,0,0,18,98033,33.06340641,56.18073807,12,0,1112,954,0.321753794,0.910844635,0,0,10,11,0.003709949,0.105450628,0,0,5,28,0.009443508,0.23646604,0,0,10,1777,0.599325464,2.569414113,0,0,48,27671,9.332546374,22.29844579,1,0,565,20429,6.89005059,12.18423237,1,0,135,8629,2.910286678,9.747350522,0,0,224,2137,0.72074199,1.257739115,0,0,10,45,0.015177066,0.386302689,0,0,20,1608,0.54232715,2.337422045,0,0,48,-397,-0.217653509,0.412763692,0,-1,0,30751,10.37133221,18.88167363,1,0,217,22495,7.586846543,13.67862887,1,0,152,1248,0.420910624,1.178230269,0,0,21,8753,2.952107926,11.4992988,0,0,428,6509,2.195278246,3.34679807,1,0,71,763,0.257335582,1.150698455,0,0,39,16936,5.711973019,11.4375619,1,0,134,2136,0.720404722,2.677013634,0,0,42,2469,0.832715008,1.887796115,0,0,17,40744,13.74165261,31.05248977,2,0,630,1348,0.454637437,4.703745196,0,0,215
akka-testkit,2.4.20,258,"Aug, 2017",2338,14078,6.049849592,7.039020876,3,0,38,5558,2.388483025,5.622734046,0,0,75,710,0.305113881,1.327882278,0,0,36,4849,2.083798883,8.470439703,0,0,221,308646,132.6368715,633.4295216,13,0,16208,-167,-0.12565839,0.331588738,0,-1,0,117,0.05027933,0.377299381,0,0,7,3197,1.373871938,3.851205628,0,0,53,0,0,0,0,0,0,16203,6.963042544,17.48723674,0,0,244,188028,80.80275032,321.3508986,0,0,8598,2026,0.870648904,1.911415825,0,0,21,727,0.312419424,1.321798047,0,0,23,3390,1.456811345,3.343954745,0,0,45,16182,6.954018049,15.38242903,1,0,177,4937,2.121615814,4.190774309,0,0,45,12479,5.362698754,10.91942431,1,0,204,470,0.201976794,0.544285922,0,0,7,69000,29.65191233,152.6089958,1,-1,1033,1795,0.771379459,2.673906095,0,0,45,1006,0.432316287,1.234898427,0,0,18,79570,34.19424151,51.13601223,14,0,750,804,0.345509239,0.944325172,0,0,10,14,0.00601633,0.130998827,0,0,5,30,0.012892136,0.270038082,0,0,10,1218,0.523420713,2.217385535,0,0,38,21846,9.388053287,19.55127074,1,0,198,16764,7.204125483,12.38178912,1,0,135,6899,2.964761495,8.89339535,0,0,143,1805,0.775676837,1.242155663,0,0,6,42,0.01804899,0.431579087,0,0,20,910,0.391061453,1.959843432,0,0,36,-167,-0.12565839,0.331588738,0,-1,0,25549,10.97937258,19.19346462,3,0,217,18336,7.879673399,13.91492868,1,0,152,950,0.408250967,1.036762269,0,0,15,6709,2.883111302,8.205973913,0,0,100,5281,2.269445638,3.19501288,1,0,59,511,0.219596046,1.091825804,0,0,39,13937,5.989256554,11.6864807,1,0,134,1663,0.714654061,2.685470147,0,0,42,1932,0.830253545,1.905094558,0,0,17,33238,14.28362699,29.22179841,2,0,359,955,0.410399656,2.490831712,0,0,67
algebird-core,0.13.0,34,"Feb, 2017",5,28,5.6,4.615192304,4,0,11,47,9.4,15.45315502,1,0,36,0,0,0,0,0,0,34,6.8,8.871302046,1,0,20,421,84.2,50.00199996,64,0,173,0,0,0,0,0,0,0,0,0,0,0,0,44,8.8,9.628083922,6,0,19,0,0,0,0,0,0,231,46.2,74.25765954,3,0,172,16,3.2,6.610597552,0,0,15,7,1.4,1.341640786,2,0,3,4,0.8,1.303840481,0,0,3,7,1.4,1.341640786,2,0,3,48,9.6,8.848728722,6,0,19,7,1.4,1.341640786,2,0,3,51,10.2,10.47377678,6,0,28,1,0.2,0.447213595,0,0,1,20,4,6.708203932,1,0,16,4,0.8,1.095445115,0,0,2,0,0,0,0,0,0,278,55.6,27.11641569,49,0,88,3,0.6,1.341640786,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,27.4,47.99270778,6,0,113,48,9.6,8.734987121,6,0,19,9,1.8,3.492849839,0,0,8,7,1.4,2.19089023,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,20.2,11.73456433,19,0,37,52,10.4,8.876936408,6,0,20,0,0,0,0,0,0,57,11.4,24.38852189,0,0,55,5,1,0,1,0,1,0,0,0,0,0,0,43,8.6,9.555103348,3,0,19,2,0.4,0.894427191,0,0,2,4,0.8,0.836660027,1,0,2,98,19.6,12.03328717,20,0,36,137,27.4,57.97240723,0,0,131
amazon-kinesis-client,1.6.1,12,"Sep, 2015",147,756,5.142857143,5.668949312,3,0,31,359,2.442176871,4.637738661,0,0,29,6,0.040816327,0.198540946,0,0,1,630,4.285714286,8.702857348,0,0,60,11066,75.27891156,190.502464,19,0,1907,-6,-0.046875,0.21220162,0,-1,0,233,1.585034014,3.872706635,0,0,24,113,0.768707483,2.79938356,0,0,20,0,0,0,0,0,0,446,3.034013605,8.607431455,0,0,60,5871,39.93877551,158.3028667,1,0,1239,296,2.013605442,3.322786408,1,0,18,95,0.646258503,2.271933342,0,0,21,440,2.993197279,4.206154328,1,0,26,753,5.12244898,10.14949756,1,0,58,498,3.387755102,5.150407591,1,0,43,1014,6.897959184,10.92548528,2,0,72,103,0.700680272,1.602288458,0,0,11,10531,71.63945578,258.4755611,1,-1,1025,169,1.149659864,2.212522708,0,0,18,52,0.353741497,1.608209764,0,0,17,11304,76.89795918,64.77651091,59,0,377,46,0.31292517,0.897505837,0,0,5,26,0.176870748,0.997947759,0,0,8,6,0.040816327,0.348726667,0,0,4,18,0.12244898,0.584010217,0,0,6,1378,9.37414966,15.59470005,2,0,85,925,6.292517007,8.464438814,4,0,51,341,2.319727891,5.440822856,0,0,36,167,1.136054422,1.586067143,0,0,8,7,0.047619048,0.316948925,0,0,3,0,0,0,0,0,0,-6,-0.046875,0.21220162,0,-1,0,1528,10.39455782,16.1866501,3,0,76,1019,6.931972789,9.433734181,4,0,56,15,0.102040816,0.506596133,0,0,3,213,1.448979592,4.661388578,0,0,29,227,1.544217687,1.171764227,1,0,6,0,0,0,0,0,0,708,4.816326531,8.266967117,2,0,51,167,1.136054422,2.403306671,0,0,13,98,0.666666667,1.536466919,0,0,8,1956,13.30612245,20.5291681,5,0,112,258,1.755102041,3.750053583,0,0,24
amqp-client,5.7.3,50,"Jul, 2019",612,2850,4.656862745,6.750636895,3,0,65,1145,1.870915033,6.508310473,0,0,109,166,0.27124183,1.497938494,0,0,26,3176,5.189542484,14.1329908,0,0,169,27933,45.64215686,88.88999649,16,0,851,-16,-0.039702233,0.195501424,0,-1,0,86,0.140522876,0.982594042,0,0,19,208,0.339869281,1.858896065,0,0,29,0,0,0,0,0,0,2292,3.745098039,12.02181836,0,0,147,38378,62.70915033,448.0474355,0,0,6568,613,1.001633987,2.486295783,0,0,28,375,0.612745098,2.040193738,0,0,23,698,1.140522876,3.229344543,0,0,39,1493,2.439542484,6.774695755,0,0,81,976,1.594771242,3.896261851,0,0,55,3281,5.361111111,12.02814447,1,0,154,462,0.754901961,2.222204304,0,0,22,22372,36.55555556,186.6386757,1,-1,1033,246,0.401960784,1.50998729,0,0,24,103,0.168300654,1.282939184,0,0,24,24974,40.80718954,56.95071014,23,0,596,303,0.495098039,2.123435322,0,0,39,22,0.035947712,0.350844551,0,0,6,51,0.083333333,0.483356378,0,0,5,92,0.150326797,0.549020754,0,0,5,3733,6.099673203,13.8549252,1,0,154,3159,5.161764706,10.48676083,2,0,108,541,0.883986928,3.174355888,0,0,40,483,0.789215686,1.224282965,0,0,10,45,0.073529412,0.773635937,0,0,13,190,0.310457516,1.532524138,0,0,18,-16,-0.039702233,0.195501424,0,-1,0,5708,9.326797386,18.91477313,3,0,198,3559,5.815359477,11.99728117,2,0,134,47,0.076797386,0.872746594,0,0,13,170,0.277777778,1.147670934,0,0,18,907,1.482026144,0.899902056,1,0,7,124,0.202614379,0.824021333,0,0,10,2475,4.044117647,9.008798102,2,0,107,366,0.598039216,4.288895884,0,0,96,415,0.678104575,2.469316318,0,0,26,5552,9.071895425,18.6157122,3,0,179,570,0.931372549,3.013639927,0,0,30
android-async-http,1.4.9,99,"Sep, 2015",150,850,5.666666667,6.045317303,4,0,47,171,1.14,2.751521849,0,0,18,59,0.393333333,0.749914238,0,0,4,535,3.566666667,5.679843871,1,0,32,7470,49.8,75.54722067,25,0,642,0,0,0,0,0,0,128,0.853333333,2.054252968,0,0,13,34,0.226666667,0.990875599,0,0,8,0,0,0,0,0,0,956,6.373333333,48.37556467,0,0,585,6598,43.98666667,264.7310649,3,0,3122,223,1.486666667,2.872542233,0,0,16,78,0.52,2.13541565,0,0,23,189,1.26,2.632858961,0,0,16,438,2.92,5.884252674,1,0,58,304,2.026666667,3.851168509,1,0,22,686,4.573333333,8.838101368,1,0,62,64,0.426666667,1.005666273,0,0,6,10370,69.13333333,256.5262174,1,-1,1032,153,1.02,2.26283068,0,0,13,61,0.406666667,1.528681788,0,0,13,7252,48.34666667,62.24362038,28,0,525,58,0.386666667,1.079315385,0,0,9,2,0.013333333,0.115081918,0,0,1,37,0.246666667,1.389976904,0,0,12,14,0.093333333,0.390261772,0,0,3,914,6.093333333,12.35566151,1,0,80,825,5.5,9.060386527,3,0,92,279,1.86,4.628522602,0,0,38,176,1.173333333,1.364687277,1,0,6,15,0.1,0.459792775,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1357,9.046666667,15.34582849,5,0,124,867,5.78,9.520638126,4,0,96,21,0.14,0.802930873,0,0,7,119,0.793333333,3.807968802,0,0,38,271,1.806666667,1.0849592,1,0,5,17,0.113333333,0.618904278,0,0,6,700,4.666666667,8.23290718,3,0,87,64,0.426666667,2.541855441,0,0,20,45,0.3,0.849397734,0,0,5,1633,10.88666667,19.45276042,6,0,169,212,1.413333333,4.161483129,0,0,36
android-gif-drawable,1.2.8,13,"Aug, 2017",67,402,6,6.312565631,4,0,37,139,2.074626866,6.460400196,0,0,45,11,0.164179104,0.510407292,0,0,3,92,1.373134328,3.609061915,0,0,23,3024,45.13432836,72.06224067,20,0,438,-1,-0.02,0.141421356,0,-1,0,0,0,0,0,0,0,67,1,5.277166365,0,0,42,0,0,0,0,0,0,288,4.298507463,9.656235111,1,0,57,3302,49.28358209,247.7496785,0,0,1958,66,0.985074627,1.787943946,0,0,10,21,0.313432836,1.003160992,0,0,5,78,1.164179104,1.895744956,1,0,9,207,3.089552239,7.329333641,1,0,49,117,1.746268657,2.781667712,1,0,19,270,4.029850746,5.964465861,2,0,31,21,0.313432836,0.874018154,0,0,5,3409,50.88059701,212.6028822,1,-1,1025,21,0.313432836,0.820364945,0,0,4,8,0.119402985,0.370191926,0,0,2,3681,54.94029851,83.4385785,27,0,553,9,0.134328358,0.457116204,0,0,3,33,0.492537313,3.331998828,0,0,27,1,0.014925373,0.122169444,0,0,1,15,0.223880597,1.152348005,0,0,9,369,5.507462687,8.572989886,2,0,47,402,6,11.38845774,2,0,74,80,1.194029851,2.624123553,0,0,15,52,0.776119403,1.070554876,0,0,4,3,0.044776119,0.208372904,0,0,1,0,0,0,0,0,0,-1,-0.02,0.141421356,0,-1,0,572,8.537313433,13.84582681,4,0,84,477,7.119402985,14.44060184,3,0,88,5,0.074626866,0.316870724,0,0,2,14,0.208955224,0.616375364,0,0,4,109,1.626865672,1.265340066,1,0,10,30,0.447761194,1.258710043,0,0,9,291,4.343283582,9.505265269,1,0,69,101,1.507462687,6.108546259,0,0,50,76,1.134328358,4.693307687,0,0,37,725,10.82089552,20.45462486,5,0,122,48,0.71641791,2.327737685,0,0,16
