project,release,maven_reuse,maven_release,class_count,synchronizedMethodsQty_sum,synchronizedMethodsQty_average,synchronizedMethodsQty_stdev,synchronizedMethodsQty_median,synchronizedMethodsQty_min,synchronizedMethodsQty_max,parenthesizedExpsQty_sum,parenthesizedExpsQty_average,parenthesizedExpsQty_stdev,parenthesizedExpsQty_median,parenthesizedExpsQty_min,parenthesizedExpsQty_max,lcom_sum,lcom_average,lcom_stdev,lcom_median,lcom_min,lcom_max,publicMethodsQty_sum,publicMethodsQty_average,publicMethodsQty_stdev,publicMethodsQty_median,publicMethodsQty_min,publicMethodsQty_max,staticFieldsQty_sum,staticFieldsQty_average,staticFieldsQty_stdev,staticFieldsQty_median,staticFieldsQty_min,staticFieldsQty_max,publicFieldsQty_sum,publicFieldsQty_average,publicFieldsQty_stdev,publicFieldsQty_median,publicFieldsQty_min,publicFieldsQty_max,lambdasQty_sum,lambdasQty_average,lambdasQty_stdev,lambdasQty_median,lambdasQty_min,lambdasQty_max,logStatementsQty_sum,logStatementsQty_average,logStatementsQty_stdev,logStatementsQty_median,logStatementsQty_min,logStatementsQty_max,tryCatchQty_sum,tryCatchQty_average,tryCatchQty_stdev,tryCatchQty_median,tryCatchQty_min,tryCatchQty_max,maxNestedBlocksQty_sum,maxNestedBlocksQty_average,maxNestedBlocksQty_stdev,maxNestedBlocksQty_median,maxNestedBlocksQty_min,maxNestedBlocksQty_max,wmc_sum,wmc_average,wmc_stdev,wmc_median,wmc_min,wmc_max,rfc_sum,rfc_average,rfc_stdev,rfc_median,rfc_min,rfc_max,privateMethodsQty_sum,privateMethodsQty_average,privateMethodsQty_stdev,privateMethodsQty_median,privateMethodsQty_min,privateMethodsQty_max,defaultMethodsQty_sum,defaultMethodsQty_average,defaultMethodsQty_stdev,defaultMethodsQty_median,defaultMethodsQty_min,defaultMethodsQty_max,nosi_sum,nosi_average,nosi_stdev,nosi_median,nosi_min,nosi_max,visibleFieldsQty_sum,visibleFieldsQty_average,visibleFieldsQty_stdev,visibleFieldsQty_median,visibleFieldsQty_min,visibleFieldsQty_max,uniqueWordsQty_sum,uniqueWordsQty_average,uniqueWordsQty_stdev,uniqueWordsQty_median,uniqueWordsQty_min,uniqueWordsQty_max,synchronizedFieldsQty_sum,synchronizedFieldsQty_average,synchronizedFieldsQty_stdev,synchronizedFieldsQty_median,synchronizedFieldsQty_min,synchronizedFieldsQty_max,stringLiteralsQty_sum,stringLiteralsQty_average,stringLiteralsQty_stdev,stringLiteralsQty_median,stringLiteralsQty_min,stringLiteralsQty_max,anonymousClassesQty_sum,anonymousClassesQty_average,anonymousClassesQty_stdev,anonymousClassesQty_median,anonymousClassesQty_min,anonymousClassesQty_max,mathOperationsQty_sum,mathOperationsQty_average,mathOperationsQty_stdev,mathOperationsQty_median,mathOperationsQty_min,mathOperationsQty_max,returnQty_sum,returnQty_average,returnQty_stdev,returnQty_median,returnQty_min,returnQty_max,modifiers_sum,modifiers_average,modifiers_stdev,modifiers_median,modifiers_min,modifiers_max,lcc_sum,lcc_average,lcc_stdev,lcc_median,lcc_min,lcc_max,abstractMethodsQty_sum,abstractMethodsQty_average,abstractMethodsQty_stdev,abstractMethodsQty_median,abstractMethodsQty_min,abstractMethodsQty_max,protectedFieldsQty_sum,protectedFieldsQty_average,protectedFieldsQty_stdev,protectedFieldsQty_median,protectedFieldsQty_min,protectedFieldsQty_max,numbersQty_sum,numbersQty_average,numbersQty_stdev,numbersQty_median,numbersQty_min,numbersQty_max,staticMethodsQty_sum,staticMethodsQty_average,staticMethodsQty_stdev,staticMethodsQty_median,staticMethodsQty_min,staticMethodsQty_max,assignmentsQty_sum,assignmentsQty_average,assignmentsQty_stdev,assignmentsQty_median,assignmentsQty_min,assignmentsQty_max,finalFieldsQty_sum,finalFieldsQty_average,finalFieldsQty_stdev,finalFieldsQty_median,finalFieldsQty_min,finalFieldsQty_max,dit_sum,dit_average,dit_stdev,dit_median,dit_min,dit_max,totalMethodsQty_sum,totalMethodsQty_average,totalMethodsQty_stdev,totalMethodsQty_median,totalMethodsQty_min,totalMethodsQty_max,loopQty_sum,loopQty_average,loopQty_stdev,loopQty_median,loopQty_min,loopQty_max,defaultFieldsQty_sum,defaultFieldsQty_average,defaultFieldsQty_stdev,defaultFieldsQty_median,defaultFieldsQty_min,defaultFieldsQty_max,loc_sum,loc_average,loc_stdev,loc_median,loc_min,loc_max,totalFieldsQty_sum,totalFieldsQty_average,totalFieldsQty_stdev,totalFieldsQty_median,totalFieldsQty_min,totalFieldsQty_max,cbo_sum,cbo_average,cbo_stdev,cbo_median,cbo_min,cbo_max,variablesQty_sum,variablesQty_average,variablesQty_stdev,variablesQty_median,variablesQty_min,variablesQty_max,protectedMethodsQty_sum,protectedMethodsQty_average,protectedMethodsQty_stdev,protectedMethodsQty_median,protectedMethodsQty_min,protectedMethodsQty_max,tcc_sum,tcc_average,tcc_stdev,tcc_median,tcc_min,tcc_max,privateFieldsQty_sum,privateFieldsQty_average,privateFieldsQty_stdev,privateFieldsQty_median,privateFieldsQty_min,privateFieldsQty_max,finalMethodsQty_sum,finalMethodsQty_average,finalMethodsQty_stdev,finalMethodsQty_median,finalMethodsQty_min,finalMethodsQty_max,innerClassesQty_sum,innerClassesQty_average,innerClassesQty_stdev,innerClassesQty_median,innerClassesQty_min,innerClassesQty_max,comparisonsQty_sum,comparisonsQty_average,comparisonsQty_stdev,comparisonsQty_median,comparisonsQty_min,comparisonsQty_max
aalto-xml,1.0.0,23,"Nov, 2015",158,514,3.253164557,11.6421903,0,0,114,1744,11.03797468,34.34127822,0,0,258,27238,172.3924051,802.7831829,5,0,7551,1324,8.379746835,15.20250046,4,0,119,922,5.835443038,12.70481165,2,0,116,504,3.189873418,10.2597798,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,163,1.03164557,2.959215092,0,0,26,329,2.082278481,1.719002784,2,0,7,9362,59.25316456,158.9068123,14.5,0,1163,2782,17.60759494,25.72090167,9,0,131,279,1.765822785,3.690524485,0,0,24,39,0.246835443,0.692881998,0,0,5,1135,7.183544304,29.24720872,1,0,358,265,1.67721519,4.011558122,0,0,36,17115,108.3227848,112.4644187,65.5,0,586,0,0,0,0,0,0,1775,11.23417722,18.913537,4,0,105,0,0,0,0,0,0,1660,10.50632911,29.26852331,2,0,231,2324,14.70886076,41.72312496,4,0,345,21934,138.8227848,338.512285,17,0,1025,-3,-0.020134228,0.140933119,0,-1,0,1900,12.02531646,19.64329981,5.5,0,132,156,0.987341772,2.52878295,0,0,18,5759,36.44936709,101.3527954,5,0,642,133,0.841772152,1.883627588,0,0,12,7872,49.82278481,133.1677511,12.5,0,989,604,3.82278481,10.0378386,1,0,100,325,2.056962025,1.163366906,2,0,5,2165,13.70253165,21.10619479,6,0,137,603,3.816455696,10.61295843,0,0,78,349,2.208860759,10.98583558,0,0,116,34195,216.4240506,542.6193877,67,0,4011,18,0.113924051,0.748456446,0,0,8,962,6.088607595,6.154465777,4,0,35,3672,23.24050633,41.83108745,9,0,262,523,3.310126582,8.248452392,0,0,48,-3,-0.020134228,0.140933119,0,-1,0,152,0.962025316,4.769710798,0,0,44,124,0.784810127,3.256237077,0,0,28,16,0.101265823,0.342152672,0,0,2,2833,17.93037975,54.52144054,3,0,423
airline,0.7,49,"Nov, 2014",135,0,0,0,0,0,0,13,0.096296296,0.571383162,0,0,4,1823,13.5037037,87.45872153,0,0,739,321,2.377777778,5.143996162,1,0,35,266,1.97037037,2.992380226,1,0,27,6,0.044444444,0.24023206,0,0,2,0,0,0,0,0,0,2,0.014814815,0.121261109,0,0,1,10,0.074074074,0.554891809,0,0,5,58,0.42962963,1.075790169,0,0,6,651,4.822222222,10.00661473,1,0,52,938,6.948148148,13.21030721,1,0,64,36,0.266666667,0.947896335,0,0,7,9,0.066666667,0.250372856,0,0,1,224,1.659259259,5.519521614,0,0,40,0,0,0,0,0,0,2498,18.5037037,23.36181157,10,0,140,0,0,0,0,0,0,1327,9.82962963,32.49099548,3,0,315,17,0.125925926,0.684907986,0,0,7,69,0.511111111,1.97698197,0,0,14,258,1.911111111,4.388701006,1,0,27,1484,10.99259259,88.70742589,1,-1,1033,-51,-0.579545455,0.496460828,-1,-1,0,330,2.444444444,5.155299645,1,0,35,87,0.644444444,1.677180766,0,0,9,242,1.792592593,7.737383854,0,0,61,42,0.311111111,1.102687806,0,0,9,531,3.933333333,8.289716701,1,0,53,97,0.718518519,1.637489213,0,0,9,199,1.474074074,1.460063532,1,0,14,366,2.711111111,5.692187192,1,0,39,56,0.414814815,1.467992767,0,0,10,5,0.037037037,0.430331483,0,0,5,3541,26.22962963,45.36994546,6,0,194,0,0,0,0,0,0,552,4.088888889,4.931571556,3,0,29,532,3.940740741,6.284027327,2,0,34,0,0,0,0,0,0,-51,-0.579545455,0.496460828,-1,-1,0,174,1.288888889,2.755907269,1,0,27,0,0,0,0,0,0,48,0.355555556,1.694885488,0,0,17,105,0.777777778,2.636332444,0,0,17
akka-actor,2.5.23,208,"Jun, 2019",2965,1248,0.420910624,1.178230269,0,0,21,8753,2.952107926,11.4992988,0,0,428,226977,76.55210793,305.9818929,0,0,8598,16936,5.711973019,11.4375619,1,0,134,6274,2.116020236,4.350535087,0,0,64,2251,0.759190556,2.910151508,0,0,53,1608,0.54232715,2.337422045,0,0,48,181,0.061045531,0.436968593,0,0,7,578,0.194940978,0.600079874,0,0,13,2137,0.72074199,1.257739115,0,0,10,40744,13.74165261,31.05248977,2,0,630,30751,10.37133221,18.88167363,1,0,217,2469,0.832715008,1.887796115,0,0,17,2136,0.720404722,2.677013634,0,0,42,6752,2.277234401,5.673473129,0,0,92,763,0.257335582,1.150698455,0,0,39,98033,33.06340641,56.18073807,12,0,1112,0,0,0,0,0,0,5810,1.959527825,8.483276064,0,0,239,670,0.225969646,1.131770426,0,0,34,1348,0.454637437,4.703745196,0,0,215,20169,6.802360877,15.0163674,1,0,177,95111,32.07790894,157.3575218,1,-1,1033,-397,-0.217653509,0.412763692,0,-1,0,20429,6.89005059,12.18423237,1,0,135,4186,1.411804384,3.470921565,0,0,53,20503,6.915008432,19.03677971,0,0,379,3950,1.332209106,3.764480545,0,0,53,27671,9.332546374,22.29844579,1,0,565,2796,0.943001686,2.126988019,0,0,55,6509,2.195278246,3.34679807,1,0,71,22495,7.586846543,13.67862887,1,0,152,903,0.30455312,1.683650496,0,0,58,28,0.009443508,0.23646604,0,0,10,373328,125.9116358,656.2414174,11,0,16208,11,0.003709949,0.105450628,0,0,5,17280,5.827993255,7.032080829,3,0,39,16805,5.667790894,14.22258679,1,0,409,954,0.321753794,0.910844635,0,0,10,-397,-0.217653509,0.412763692,0,-1,0,1297,0.437436762,1.222766012,0,0,18,45,0.015177066,0.386302689,0,0,20,1777,0.599325464,2.569414113,0,0,48,8629,2.910286678,9.747350522,0,0,224
akka-remote,2.3.14,31,"Sep, 2015",1182,339,0.296069869,0.866344459,0,0,8,2455,2.144104803,7.021148293,0,0,72,56408,49.26462882,168.4953124,0,0,3047,5148,4.496069869,9.547462973,1,0,81,1911,1.668995633,3.746040957,0,0,41,664,0.579912664,2.253384787,0,0,41,235,0.205240175,1.0704096,0,0,15,77,0.067248908,0.45785857,0,0,7,157,0.137117904,0.398283565,0,0,5,735,0.641921397,1.090000551,0,0,5,11674,10.19563319,23.51576949,2,0,220,8829,7.710917031,13.2146518,3,0,99,608,0.531004367,1.477437936,0,0,12,541,0.472489083,2.106720724,0,0,27,1298,1.133624454,2.993079935,0,0,31,301,0.262882096,1.407979411,0,0,38,27472,23.9930131,34.78010272,11,0,272,0,0,0,0,0,0,2096,1.830567686,5.376971921,0,0,86,365,0.318777293,1.484961411,0,0,26,195,0.170305677,0.631203751,0,0,8,5511,4.813100437,12.69787451,0,0,109,33482,29.2419214,155.0971554,1,-1,1033,-94,-0.165492958,0.37195243,0,-1,0,6114,5.339737991,10.22008007,1,0,82,1219,1.064628821,2.807833925,0,0,41,5662,4.944978166,13.75273443,0,0,128,1064,0.929257642,3.097945105,0,0,14,7803,6.814847162,16.1509149,1,0,145,745,0.650655022,1.596615194,0,0,13,1752,1.530131004,1.134029606,1,0,18,6579,5.745851528,11.48368571,1,0,94,188,0.16419214,0.729697153,0,0,11,5,0.004366812,0.078101187,0,0,2,109009,95.20436681,490.9544794,11,0,11774,3,0.002620087,0.06605875,0,0,2,5051,4.411353712,5.216740502,2,0,26,4459,3.894323144,7.686845833,1,0,89,282,0.24628821,0.758717821,0,0,8,-94,-0.165492958,0.37195243,0,-1,0,386,0.337117904,1.053578853,0,0,11,12,0.010480349,0.124997328,0,0,3,542,0.473362445,1.926407748,0,0,34,2337,2.041048035,6.947673476,0,0,88
akka-slf4j,2.5.23,135,"Jun, 2019",2965,1248,0.420910624,1.178230269,0,0,21,8753,2.952107926,11.4992988,0,0,428,226977,76.55210793,305.9818929,0,0,8598,16936,5.711973019,11.4375619,1,0,134,6274,2.116020236,4.350535087,0,0,64,2251,0.759190556,2.910151508,0,0,53,1608,0.54232715,2.337422045,0,0,48,181,0.061045531,0.436968593,0,0,7,578,0.194940978,0.600079874,0,0,13,2137,0.72074199,1.257739115,0,0,10,40744,13.74165261,31.05248977,2,0,630,30751,10.37133221,18.88167363,1,0,217,2469,0.832715008,1.887796115,0,0,17,2136,0.720404722,2.677013634,0,0,42,6752,2.277234401,5.673473129,0,0,92,763,0.257335582,1.150698455,0,0,39,98033,33.06340641,56.18073807,12,0,1112,0,0,0,0,0,0,5810,1.959527825,8.483276064,0,0,239,670,0.225969646,1.131770426,0,0,34,1348,0.454637437,4.703745196,0,0,215,20169,6.802360877,15.0163674,1,0,177,95111,32.07790894,157.3575218,1,-1,1033,-397,-0.217653509,0.412763692,0,-1,0,20429,6.89005059,12.18423237,1,0,135,4186,1.411804384,3.470921565,0,0,53,20503,6.915008432,19.03677971,0,0,379,3950,1.332209106,3.764480545,0,0,53,27671,9.332546374,22.29844579,1,0,565,2796,0.943001686,2.126988019,0,0,55,6509,2.195278246,3.34679807,1,0,71,22495,7.586846543,13.67862887,1,0,152,903,0.30455312,1.683650496,0,0,58,28,0.009443508,0.23646604,0,0,10,373328,125.9116358,656.2414174,11,0,16208,11,0.003709949,0.105450628,0,0,5,17280,5.827993255,7.032080829,3,0,39,16805,5.667790894,14.22258679,1,0,409,954,0.321753794,0.910844635,0,0,10,-397,-0.217653509,0.412763692,0,-1,0,1297,0.437436762,1.222766012,0,0,18,45,0.015177066,0.386302689,0,0,20,1777,0.599325464,2.569414113,0,0,48,8629,2.910286678,9.747350522,0,0,224
akka-stream,2.5.23,247,"Jun, 2019",2965,1248,0.420910624,1.178230269,0,0,21,8753,2.952107926,11.4992988,0,0,428,226977,76.55210793,305.9818929,0,0,8598,16936,5.711973019,11.4375619,1,0,134,6274,2.116020236,4.350535087,0,0,64,2251,0.759190556,2.910151508,0,0,53,1608,0.54232715,2.337422045,0,0,48,181,0.061045531,0.436968593,0,0,7,578,0.194940978,0.600079874,0,0,13,2137,0.72074199,1.257739115,0,0,10,40744,13.74165261,31.05248977,2,0,630,30751,10.37133221,18.88167363,1,0,217,2469,0.832715008,1.887796115,0,0,17,2136,0.720404722,2.677013634,0,0,42,6752,2.277234401,5.673473129,0,0,92,763,0.257335582,1.150698455,0,0,39,98033,33.06340641,56.18073807,12,0,1112,0,0,0,0,0,0,5810,1.959527825,8.483276064,0,0,239,670,0.225969646,1.131770426,0,0,34,1348,0.454637437,4.703745196,0,0,215,20169,6.802360877,15.0163674,1,0,177,95111,32.07790894,157.3575218,1,-1,1033,-397,-0.217653509,0.412763692,0,-1,0,20429,6.89005059,12.18423237,1,0,135,4186,1.411804384,3.470921565,0,0,53,20503,6.915008432,19.03677971,0,0,379,3950,1.332209106,3.764480545,0,0,53,27671,9.332546374,22.29844579,1,0,565,2796,0.943001686,2.126988019,0,0,55,6509,2.195278246,3.34679807,1,0,71,22495,7.586846543,13.67862887,1,0,152,903,0.30455312,1.683650496,0,0,58,28,0.009443508,0.23646604,0,0,10,373328,125.9116358,656.2414174,11,0,16208,11,0.003709949,0.105450628,0,0,5,17280,5.827993255,7.032080829,3,0,39,16805,5.667790894,14.22258679,1,0,409,954,0.321753794,0.910844635,0,0,10,-397,-0.217653509,0.412763692,0,-1,0,1297,0.437436762,1.222766012,0,0,18,45,0.015177066,0.386302689,0,0,20,1777,0.599325464,2.569414113,0,0,48,8629,2.910286678,9.747350522,0,0,224
akka-testkit,2.4.20,258,"Aug, 2017",2338,950,0.408250967,1.036762269,0,0,15,6709,2.883111302,8.205973913,0,0,100,188028,80.80275032,321.3508986,0,0,8598,13937,5.989256554,11.6864807,1,0,134,4937,2.121615814,4.190774309,0,0,45,1795,0.771379459,2.673906095,0,0,45,910,0.391061453,1.959843432,0,0,36,117,0.05027933,0.377299381,0,0,7,470,0.201976794,0.544285922,0,0,7,1805,0.775676837,1.242155663,0,0,6,33238,14.28362699,29.22179841,2,0,359,25549,10.97937258,19.19346462,3,0,217,1932,0.830253545,1.905094558,0,0,17,1663,0.714654061,2.685470147,0,0,42,5558,2.388483025,5.622734046,0,0,75,511,0.219596046,1.091825804,0,0,39,79570,34.19424151,51.13601223,14,0,750,0,0,0,0,0,0,4849,2.083798883,8.470439703,0,0,221,710,0.305113881,1.327882278,0,0,36,955,0.410399656,2.490831712,0,0,67,16182,6.954018049,15.38242903,1,0,177,69000,29.65191233,152.6089958,1,-1,1033,-167,-0.12565839,0.331588738,0,-1,0,16764,7.204125483,12.38178912,1,0,135,3390,1.456811345,3.343954745,0,0,45,16203,6.963042544,17.48723674,0,0,244,3197,1.373871938,3.851205628,0,0,53,21846,9.388053287,19.55127074,1,0,198,2026,0.870648904,1.911415825,0,0,21,5281,2.269445638,3.19501288,1,0,59,18336,7.879673399,13.91492868,1,0,152,727,0.312419424,1.321798047,0,0,23,30,0.012892136,0.270038082,0,0,10,308646,132.6368715,633.4295216,13,0,16208,14,0.00601633,0.130998827,0,0,5,14078,6.049849592,7.039020876,3,0,38,12479,5.362698754,10.91942431,1,0,204,804,0.345509239,0.944325172,0,0,10,-167,-0.12565839,0.331588738,0,-1,0,1006,0.432316287,1.234898427,0,0,18,42,0.01804899,0.431579087,0,0,20,1218,0.523420713,2.217385535,0,0,38,6899,2.964761495,8.89339535,0,0,143
algebird-core,0.13.0,34,"Feb, 2017",5,0,0,0,0,0,0,57,11.4,24.38852189,0,0,55,16,3.2,6.610597552,0,0,15,43,8.6,9.555103348,3,0,19,7,1.4,1.341640786,2,0,3,4,0.8,1.095445115,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.447213595,0,0,1,7,1.4,2.19089023,0,0,5,98,19.6,12.03328717,20,0,36,101,20.2,11.73456433,19,0,37,4,0.8,0.836660027,1,0,2,2,0.4,0.894427191,0,0,2,47,9.4,15.45315502,1,0,36,0,0,0,0,0,0,278,55.6,27.11641569,49,0,88,0,0,0,0,0,0,34,6.8,8.871302046,1,0,20,0,0,0,0,0,0,137,27.4,57.97240723,0,0,131,48,9.6,8.848728722,6,0,19,20,4,6.708203932,1,0,16,0,0,0,0,0,0,48,9.6,8.734987121,6,0,19,7,1.4,1.341640786,2,0,3,231,46.2,74.25765954,3,0,172,44,8.8,9.628083922,6,0,19,137,27.4,47.99270778,6,0,113,7,1.4,1.341640786,2,0,3,5,1,0,1,0,1,52,10.4,8.876936408,6,0,20,4,0.8,1.303840481,0,0,3,0,0,0,0,0,0,421,84.2,50.00199996,64,0,173,0,0,0,0,0,0,28,5.6,4.615192304,4,0,11,51,10.2,10.47377678,6,0,28,3,0.6,1.341640786,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.8,3.492849839,0,0,8
amazon-kinesis-client,1.6.1,12,"Sep, 2015",147,15,0.102040816,0.506596133,0,0,3,213,1.448979592,4.661388578,0,0,29,5871,39.93877551,158.3028667,1,0,1239,708,4.816326531,8.266967117,2,0,51,498,3.387755102,5.150407591,1,0,43,169,1.149659864,2.212522708,0,0,18,0,0,0,0,0,0,233,1.585034014,3.872706635,0,0,24,103,0.700680272,1.602288458,0,0,11,167,1.136054422,1.586067143,0,0,8,1956,13.30612245,20.5291681,5,0,112,1528,10.39455782,16.1866501,3,0,76,98,0.666666667,1.536466919,0,0,8,167,1.136054422,2.403306671,0,0,13,359,2.442176871,4.637738661,0,0,29,0,0,0,0,0,0,11304,76.89795918,64.77651091,59,0,377,0,0,0,0,0,0,630,4.285714286,8.702857348,0,0,60,6,0.040816327,0.198540946,0,0,1,258,1.755102041,3.750053583,0,0,24,753,5.12244898,10.14949756,1,0,58,10531,71.63945578,258.4755611,1,-1,1025,-6,-0.046875,0.21220162,0,-1,0,925,6.292517007,8.464438814,4,0,51,440,2.993197279,4.206154328,1,0,26,446,3.034013605,8.607431455,0,0,60,113,0.768707483,2.79938356,0,0,20,1378,9.37414966,15.59470005,2,0,85,296,2.013605442,3.322786408,1,0,18,227,1.544217687,1.171764227,1,0,6,1019,6.931972789,9.433734181,4,0,56,95,0.646258503,2.271933342,0,0,21,6,0.040816327,0.348726667,0,0,4,11066,75.27891156,190.502464,19,0,1907,26,0.176870748,0.997947759,0,0,8,756,5.142857143,5.668949312,3,0,31,1014,6.897959184,10.92548528,2,0,72,46,0.31292517,0.897505837,0,0,5,-6,-0.046875,0.21220162,0,-1,0,52,0.353741497,1.608209764,0,0,17,7,0.047619048,0.316948925,0,0,3,18,0.12244898,0.584010217,0,0,6,341,2.319727891,5.440822856,0,0,36
amazon-kinesis-client,1.7.5,12,"Apr, 2017",319,113,0.354231975,2.986853684,0,0,50,223,0.699059561,3.232650702,0,0,29,9990,31.31661442,172.5088916,1,0,2353,1319,4.134796238,7.375636368,2,0,70,920,2.884012539,5.133043914,1,0,58,295,0.92476489,2.17922896,0,0,24,0,0,0,0,0,0,297,0.931034483,3.140565766,0,0,31,175,0.548589342,1.505750889,0,0,12,282,0.884012539,1.264797277,0,0,8,3205,10.04702194,17.12259667,4,0,112,3347,10.49216301,18.56162017,3,0,177,202,0.63322884,1.822369539,0,0,20,267,0.836990596,2.249754362,0,0,23,935,2.931034483,12.89318512,0,0,197,32,0.10031348,0.55169826,0,0,6,19291,60.47335423,66.53564618,39,0,442,0,0,0,0,0,0,2024,6.344827586,20.26429684,1,0,281,60,0.188087774,1.076791667,0,0,17,443,1.388714734,3.40079503,0,0,25,1114,3.492163009,7.970411163,1,0,68,11919,37.36363636,186.9754282,1,-1,1025,-12,-0.048979592,0.216267185,0,-1,0,1664,5.21630094,7.717511582,3,0,71,808,2.532915361,4.33408474,1,0,35,1203,3.771159875,10.6352172,0,0,105,174,0.545454545,2.05665885,0,0,20,3268,10.24451411,26.19117715,2,0,300,510,1.598746082,3.122569243,0,0,24,455,1.426332288,1.037078032,1,0,6,1852,5.805642633,8.739764875,3,0,74,234,0.73354232,2.58706938,0,0,30,11,0.034482759,0.31030868,0,0,4,20063,62.89341693,152.8702164,19,0,1907,32,0.10031348,0.719866271,0,0,8,1720,5.39184953,6.733007685,3,0,65,2811,8.811912226,24.45549897,2,0,282,64,0.200626959,0.680269727,0,0,5,-12,-0.048979592,0.216267185,0,-1,0,69,0.21630094,1.423163315,0,0,23,7,0.021943574,0.216071231,0,0,3,63,0.197492163,0.84778289,0,0,9,440,1.379310345,3.99335275,0,0,36
