project,release,maven_reuse,maven_release,class_count,protectedFieldsQty_sum,protectedFieldsQty_average,protectedFieldsQty_stdev,protectedFieldsQty_median,protectedFieldsQty_min,protectedFieldsQty_max,nosi_sum,nosi_average,nosi_stdev,nosi_median,nosi_min,nosi_max,privateFieldsQty_sum,privateFieldsQty_average,privateFieldsQty_stdev,privateFieldsQty_median,privateFieldsQty_min,privateFieldsQty_max,staticFieldsQty_sum,staticFieldsQty_average,staticFieldsQty_stdev,staticFieldsQty_median,staticFieldsQty_min,staticFieldsQty_max,dit_sum,dit_average,dit_stdev,dit_median,dit_min,dit_max,lcc_sum,lcc_average,lcc_stdev,lcc_median,lcc_min,lcc_max,finalMethodsQty_sum,finalMethodsQty_average,finalMethodsQty_stdev,finalMethodsQty_median,finalMethodsQty_min,finalMethodsQty_max,totalMethodsQty_sum,totalMethodsQty_average,totalMethodsQty_stdev,totalMethodsQty_median,totalMethodsQty_min,totalMethodsQty_max,loc_sum,loc_average,loc_stdev,loc_median,loc_min,loc_max,publicMethodsQty_sum,publicMethodsQty_average,publicMethodsQty_stdev,publicMethodsQty_median,publicMethodsQty_min,publicMethodsQty_max,maxNestedBlocksQty_sum,maxNestedBlocksQty_average,maxNestedBlocksQty_stdev,maxNestedBlocksQty_median,maxNestedBlocksQty_min,maxNestedBlocksQty_max,anonymousClassesQty_sum,anonymousClassesQty_average,anonymousClassesQty_stdev,anonymousClassesQty_median,anonymousClassesQty_min,anonymousClassesQty_max,loopQty_sum,loopQty_average,loopQty_stdev,loopQty_median,loopQty_min,loopQty_max,parenthesizedExpsQty_sum,parenthesizedExpsQty_average,parenthesizedExpsQty_stdev,parenthesizedExpsQty_median,parenthesizedExpsQty_min,parenthesizedExpsQty_max,defaultFieldsQty_sum,defaultFieldsQty_average,defaultFieldsQty_stdev,defaultFieldsQty_median,defaultFieldsQty_min,defaultFieldsQty_max,comparisonsQty_sum,comparisonsQty_average,comparisonsQty_stdev,comparisonsQty_median,comparisonsQty_min,comparisonsQty_max,totalFieldsQty_sum,totalFieldsQty_average,totalFieldsQty_stdev,totalFieldsQty_median,totalFieldsQty_min,totalFieldsQty_max,variablesQty_sum,variablesQty_average,variablesQty_stdev,variablesQty_median,variablesQty_min,variablesQty_max,defaultMethodsQty_sum,defaultMethodsQty_average,defaultMethodsQty_stdev,defaultMethodsQty_median,defaultMethodsQty_min,defaultMethodsQty_max,synchronizedMethodsQty_sum,synchronizedMethodsQty_average,synchronizedMethodsQty_stdev,synchronizedMethodsQty_median,synchronizedMethodsQty_min,synchronizedMethodsQty_max,publicFieldsQty_sum,publicFieldsQty_average,publicFieldsQty_stdev,publicFieldsQty_median,publicFieldsQty_min,publicFieldsQty_max,lambdasQty_sum,lambdasQty_average,lambdasQty_stdev,lambdasQty_median,lambdasQty_min,lambdasQty_max,cbo_sum,cbo_average,cbo_stdev,cbo_median,cbo_min,cbo_max,logStatementsQty_sum,logStatementsQty_average,logStatementsQty_stdev,logStatementsQty_median,logStatementsQty_min,logStatementsQty_max,staticMethodsQty_sum,staticMethodsQty_average,staticMethodsQty_stdev,staticMethodsQty_median,staticMethodsQty_min,staticMethodsQty_max,protectedMethodsQty_sum,protectedMethodsQty_average,protectedMethodsQty_stdev,protectedMethodsQty_median,protectedMethodsQty_min,protectedMethodsQty_max,rfc_sum,rfc_average,rfc_stdev,rfc_median,rfc_min,rfc_max,returnQty_sum,returnQty_average,returnQty_stdev,returnQty_median,returnQty_min,returnQty_max,uniqueWordsQty_sum,uniqueWordsQty_average,uniqueWordsQty_stdev,uniqueWordsQty_median,uniqueWordsQty_min,uniqueWordsQty_max,wmc_sum,wmc_average,wmc_stdev,wmc_median,wmc_min,wmc_max,tryCatchQty_sum,tryCatchQty_average,tryCatchQty_stdev,tryCatchQty_median,tryCatchQty_min,tryCatchQty_max,innerClassesQty_sum,innerClassesQty_average,innerClassesQty_stdev,innerClassesQty_median,innerClassesQty_min,innerClassesQty_max,modifiers_sum,modifiers_average,modifiers_stdev,modifiers_median,modifiers_min,modifiers_max,numbersQty_sum,numbersQty_average,numbersQty_stdev,numbersQty_median,numbersQty_min,numbersQty_max,abstractMethodsQty_sum,abstractMethodsQty_average,abstractMethodsQty_stdev,abstractMethodsQty_median,abstractMethodsQty_min,abstractMethodsQty_max,visibleFieldsQty_sum,visibleFieldsQty_average,visibleFieldsQty_stdev,visibleFieldsQty_median,visibleFieldsQty_min,visibleFieldsQty_max,mathOperationsQty_sum,mathOperationsQty_average,mathOperationsQty_stdev,mathOperationsQty_median,mathOperationsQty_min,mathOperationsQty_max,finalFieldsQty_sum,finalFieldsQty_average,finalFieldsQty_stdev,finalFieldsQty_median,finalFieldsQty_min,finalFieldsQty_max,assignmentsQty_sum,assignmentsQty_average,assignmentsQty_stdev,assignmentsQty_median,assignmentsQty_min,assignmentsQty_max,synchronizedFieldsQty_sum,synchronizedFieldsQty_average,synchronizedFieldsQty_stdev,synchronizedFieldsQty_median,synchronizedFieldsQty_min,synchronizedFieldsQty_max,lcom_sum,lcom_average,lcom_stdev,lcom_median,lcom_min,lcom_max,privateMethodsQty_sum,privateMethodsQty_average,privateMethodsQty_stdev,privateMethodsQty_median,privateMethodsQty_min,privateMethodsQty_max,stringLiteralsQty_sum,stringLiteralsQty_average,stringLiteralsQty_stdev,stringLiteralsQty_median,stringLiteralsQty_min,stringLiteralsQty_max,tcc_sum,tcc_average,tcc_stdev,tcc_median,tcc_min,tcc_max
aalto-xml,1.0.0,23,"Nov, 2015",133,149,1.120300752,2.724850827,0,0,18,1132,8.511278195,31.71932222,3,0,358,133,1,5.019658325,0,0,44,875,6.578947368,13.6521785,2,0,116,292,2.195488722,1.170720101,2,0,5,0,0,0,0,0,0,124,0.932330827,3.531665177,0,0,28,2042,15.35338346,22.48912043,7,0,137,33543,252.2030075,584.7170484,81,0,4011,1214,9.127819549,16.27901304,4,0,119,315,2.368421053,1.694347484,2,0,7,0,0,0,0,0,0,590,4.436090226,11.45634228,1,0,78,1733,13.03007519,37.10834666,1,0,258,349,2.62406015,11.93517941,0,0,116,2801,21.06015038,58.92853394,4,0,423,6,0.045112782,0.271490322,0,0,2,3591,27,44.57815745,10,0,262,28,0.210526316,0.685925957,0,0,5,514,3.864661654,12.60277865,0,0,114,482,3.62406015,11.04097156,0,0,100,0,0,0,0,0,0,909,6.834586466,6.37606848,5,0,35,0,0,0,0,0,0,132,0.992481203,2.01695931,0,0,12,523,3.932330827,8.857624253,0,0,48,2721,20.45864662,27.06795916,12,0,131,2271,17.07518797,45.08991422,4,0,345,16194,121.7593985,117.4302598,73,0,586,9189,69.09022556,171.4802957,18,0,1163,163,1.22556391,3.189985612,0,0,26,15,0.112781955,0.362109462,0,0,2,21615,162.518797,364.2731576,17,0,1025,5711,42.93984962,109.3009994,7,0,642,1779,13.37593985,21.00274207,7,0,132,244,1.834586466,4.322563162,0,0,36,1630,12.2556391,31.57306441,2,0,231,566,4.255639098,10.79748437,1,0,100,7772,58.43609023,143.5721418,15,0,989,0,0,0,0,0,0,26892,202.1954887,872.0371348,9,0,7551,277,2.082706767,3.942859124,0,0,24,1673,12.57894737,19.96330366,6,0,105,0,0,0,0,0,0
airline,0.7,49,"Nov, 2014",67,76,1.134328358,2.138361893,0,0,9,210,3.134328358,7.553637539,0,0,40,97,1.447761194,3.734700435,0,0,27,173,2.582089552,3.904733932,1,0,27,115,1.71641791,2.006096543,1,0,14,-21,-0.375,0.48850421,0,-1,0,0,0,0,0,0,0,315,4.701492537,7.503564659,2,0,39,3074,45.88059701,57.87617985,14,0,194,273,4.074626866,6.823118972,1,0,35,53,0.791044776,1.419958529,0,0,6,17,0.253731343,0.958902207,0,0,7,56,0.835820896,2.004517738,0,0,10,13,0.194029851,0.802246958,0,0,4,0,0,0,0,0,0,101,1.507462687,3.598708246,0,0,17,0,0,0,0,0,0,436,6.507462687,8.034722251,3,0,34,8,0.119402985,0.3267094,0,0,1,0,0,0,0,0,0,6,0.089552239,0.336260329,0,0,2,0,0,0,0,0,0,392,5.850746269,6.360993184,3,0,29,2,0.029850746,0.171459798,0,0,1,42,0.626865672,1.505905757,0,0,9,0,0,0,0,0,0,823,12.28358209,17.06831725,5,0,64,210,3.134328358,5.884997676,1,0,27,1841,27.47761194,30.02542267,17,0,140,593,8.850746269,12.97696529,2,0,52,10,0.149253731,0.78342162,0,0,5,36,0.537313433,2.337626083,0,0,17,67,1,0,1,0,1,239,3.567164179,10.7311835,0,0,61,281,4.194029851,6.81406479,2,0,35,0,0,0,0,0,0,65,0.970149254,2.73013569,0,0,14,76,1.134328358,2.124143481,0,0,9,461,6.880597015,10.91637967,2,0,53,0,0,0,0,0,0,1808,26.98507463,123.1333956,0,0,739,34,0.507462687,1.295366268,0,0,7,1121,16.73134328,45.0647958,4,0,315,-21,-0.375,0.48850421,0,-1,0
akka-actor,2.5.23,208,"Jun, 2019",487,848,1.741273101,5.790122214,0,0,53,1280,2.628336756,8.379100121,0,0,92,134,0.275154004,0.603708299,0,0,6,1309,2.68788501,6.14277295,1,0,64,1729,3.550308008,6.894340354,2,0,71,-44,-0.113402062,0.317493044,0,-1,0,31,0.063655031,0.93296586,0,0,20,2680,5.503080082,9.442891526,3,0,110,155088,318.4558522,1532.823225,41,0,16208,2163,4.441478439,8.005666992,2,0,106,366,0.751540041,1.249638915,0,0,10,347,0.712525667,2.609634568,0,0,34,247,0.507186858,3.19004523,0,0,58,772,1.585215606,20.01358662,0,0,428,9,0.018480493,0.162501507,0,0,2,700,1.437371663,11.52612347,0,0,224,2,0.004106776,0.064018169,0,0,1,5946,12.20944559,28.83758395,5,0,409,138,0.283367556,1.312252546,0,0,17,86,0.176591376,1.492652196,0,0,21,849,1.743326489,5.832524778,0,0,53,899,1.845995893,4.908514835,0,0,48,3976,8.164271047,6.345157629,7,0,39,121,0.248459959,0.889971962,0,0,7,556,1.141683778,3.397294923,0,0,53,85,0.174537988,0.900576257,0,0,8,6029,12.3798768,17.10802779,7,0,171,1588,3.260780287,8.156125838,1,0,72,26192,53.78234086,96.35030104,24,0,1112,4748,9.749486653,35.09632358,4,0,630,127,0.260780287,1.127545956,0,0,13,1162,2.386036961,5.388492741,0,0,48,32890,67.53593429,249.8086227,1,0,1025,3409,7,27.41353785,0,0,379,2441,5.012320329,8.619521112,3,0,107,318,0.652977413,1.521014107,0,0,18,908,1.864476386,10.96844102,0,0,215,479,0.983572895,2.977925847,0,0,55,5230,10.73921971,32.30601751,4,0,565,0,0,0,0,0,0,17581,36.10061602,302.2640905,0,0,5909,294,0.603696099,1.803353841,0,0,16,3415,7.012320329,18.13086437,3,0,239,-44,-0.113402062,0.317493044,0,-1,0
akka-remote,2.3.14,31,"Sep, 2015",235,229,1,3.732268018,0,0,41,156,0.681222707,2.352424335,0,0,26,51,0.222707424,0.536566085,0,0,3,412,1.799126638,4.04620237,1,0,41,503,2.19650655,2.096527209,2,0,18,-20,-0.138888889,0.347037635,0,-1,0,3,0.013100437,0.19824558,0,0,3,686,2.995633188,4.249352703,2,0,44,44987,196.4497817,1029.950839,27,0,11774,630,2.751091703,4.12778998,2,0,44,117,0.510917031,0.787018322,0,0,4,233,1.017467249,3.141355537,0,0,26,35,0.152838428,0.576021804,0,0,5,25,0.109170306,0.420269036,0,0,3,5,0.021834061,0.173847454,0,0,2,63,0.27510917,1.465492137,0,0,19,1,0.004366812,0.06608186,0,0,1,1232,5.379912664,9.238541409,3,0,89,12,0.052401747,0.259648709,0,0,2,12,0.052401747,0.551597278,0,0,8,225,0.982532751,3.84680896,0,0,41,39,0.170305677,0.92328095,0,0,7,1406,6.139737991,5.157828484,5,0,25,41,0.179039301,0.7826501,0,0,7,101,0.441048035,0.918747595,0,0,6,15,0.065502183,0.477647136,0,0,6,1617,7.061135371,7.894908448,5,0,43,206,0.899563319,2.38479279,0,0,28,6933,30.27510917,40.22740556,18,0,272,962,4.200873362,5.27937057,3,0,49,35,0.152838428,0.576021804,0,0,5,375,1.637554585,3.884809051,0,0,34,8637,37.71615721,188.1505853,1,0,1025,418,1.825327511,5.456773153,0,0,54,672,2.934497817,4.172811679,2,0,44,127,0.554585153,1.525467552,0,0,12,81,0.35371179,1.043672129,0,0,8,111,0.484716157,0.984967064,0,0,8,1121,4.895196507,8.750309447,2,0,89,0,0,0,0,0,0,492,2.148471616,8.819573518,0,0,100,29,0.126637555,0.393630821,0,0,3,1071,4.676855895,9.604021301,2,0,86,-20,-0.138888889,0.347037635,0,-1,0
akka-slf4j,2.5.23,135,"Jun, 2019",487,848,1.741273101,5.790122214,0,0,53,1280,2.628336756,8.379100121,0,0,92,134,0.275154004,0.603708299,0,0,6,1309,2.68788501,6.14277295,1,0,64,1729,3.550308008,6.894340354,2,0,71,-44,-0.113402062,0.317493044,0,-1,0,31,0.063655031,0.93296586,0,0,20,2680,5.503080082,9.442891526,3,0,110,155088,318.4558522,1532.823225,41,0,16208,2163,4.441478439,8.005666992,2,0,106,366,0.751540041,1.249638915,0,0,10,347,0.712525667,2.609634568,0,0,34,247,0.507186858,3.19004523,0,0,58,772,1.585215606,20.01358662,0,0,428,9,0.018480493,0.162501507,0,0,2,700,1.437371663,11.52612347,0,0,224,2,0.004106776,0.064018169,0,0,1,5946,12.20944559,28.83758395,5,0,409,138,0.283367556,1.312252546,0,0,17,86,0.176591376,1.492652196,0,0,21,849,1.743326489,5.832524778,0,0,53,899,1.845995893,4.908514835,0,0,48,3976,8.164271047,6.345157629,7,0,39,121,0.248459959,0.889971962,0,0,7,556,1.141683778,3.397294923,0,0,53,85,0.174537988,0.900576257,0,0,8,6029,12.3798768,17.10802779,7,0,171,1588,3.260780287,8.156125838,1,0,72,26192,53.78234086,96.35030104,24,0,1112,4748,9.749486653,35.09632358,4,0,630,127,0.260780287,1.127545956,0,0,13,1162,2.386036961,5.388492741,0,0,48,32890,67.53593429,249.8086227,1,0,1025,3409,7,27.41353785,0,0,379,2441,5.012320329,8.619521112,3,0,107,318,0.652977413,1.521014107,0,0,18,908,1.864476386,10.96844102,0,0,215,479,0.983572895,2.977925847,0,0,55,5230,10.73921971,32.30601751,4,0,565,0,0,0,0,0,0,17581,36.10061602,302.2640905,0,0,5909,294,0.603696099,1.803353841,0,0,16,3415,7.012320329,18.13086437,3,0,239,-44,-0.113402062,0.317493044,0,-1,0
akka-stream,2.5.23,247,"Jun, 2019",487,848,1.741273101,5.790122214,0,0,53,1280,2.628336756,8.379100121,0,0,92,134,0.275154004,0.603708299,0,0,6,1309,2.68788501,6.14277295,1,0,64,1729,3.550308008,6.894340354,2,0,71,-44,-0.113402062,0.317493044,0,-1,0,31,0.063655031,0.93296586,0,0,20,2680,5.503080082,9.442891526,3,0,110,155088,318.4558522,1532.823225,41,0,16208,2163,4.441478439,8.005666992,2,0,106,366,0.751540041,1.249638915,0,0,10,347,0.712525667,2.609634568,0,0,34,247,0.507186858,3.19004523,0,0,58,772,1.585215606,20.01358662,0,0,428,9,0.018480493,0.162501507,0,0,2,700,1.437371663,11.52612347,0,0,224,2,0.004106776,0.064018169,0,0,1,5946,12.20944559,28.83758395,5,0,409,138,0.283367556,1.312252546,0,0,17,86,0.176591376,1.492652196,0,0,21,849,1.743326489,5.832524778,0,0,53,899,1.845995893,4.908514835,0,0,48,3976,8.164271047,6.345157629,7,0,39,121,0.248459959,0.889971962,0,0,7,556,1.141683778,3.397294923,0,0,53,85,0.174537988,0.900576257,0,0,8,6029,12.3798768,17.10802779,7,0,171,1588,3.260780287,8.156125838,1,0,72,26192,53.78234086,96.35030104,24,0,1112,4748,9.749486653,35.09632358,4,0,630,127,0.260780287,1.127545956,0,0,13,1162,2.386036961,5.388492741,0,0,48,32890,67.53593429,249.8086227,1,0,1025,3409,7,27.41353785,0,0,379,2441,5.012320329,8.619521112,3,0,107,318,0.652977413,1.521014107,0,0,18,908,1.864476386,10.96844102,0,0,215,479,0.983572895,2.977925847,0,0,55,5230,10.73921971,32.30601751,4,0,565,0,0,0,0,0,0,17581,36.10061602,302.2640905,0,0,5909,294,0.603696099,1.803353841,0,0,16,3415,7.012320329,18.13086437,3,0,239,-44,-0.113402062,0.317493044,0,-1,0
akka-testkit,2.4.20,258,"Aug, 2017",384,642,1.689473684,5.230658024,0,0,45,843,2.218421053,7.714713874,0,0,75,97,0.255263158,0.625406409,0,0,6,988,2.6,5.261800408,1,0,45,1344,3.536842105,6.402193764,2,0,59,-28,-0.099644128,0.300059306,0,-1,0,25,0.065789474,1.041810965,0,0,20,1954,5.142105263,8.985230672,3,0,110,126886,333.9105263,1471.957773,38,0,16208,1640,4.315789474,8.087924688,2,0,106,245,0.644736842,1.01315812,0,0,6,373,0.981578947,3.047933273,0,0,36,143,0.376315789,1.604073675,0,0,23,224,0.589473684,3.790683585,0,0,46,11,0.028947368,0.209796855,0,0,2,275,0.723684211,2.926535338,0,0,29,1,0.002631579,0.051298918,0,0,1,3657,9.623684211,19.09490164,4,0,204,63,0.165789474,0.819542416,0,0,9,30,0.078947368,0.880200833,0,0,15,632,1.663157895,5.094071315,0,0,45,442,1.163157895,3.981449137,0,0,36,3046,8.015789474,6.50875304,6,0,31,53,0.139473684,0.665009165,0,0,7,445,1.171052632,3.580171713,0,0,53,58,0.152631579,0.855137151,0,0,7,4244,11.16842105,16.66614766,6,0,136,981,2.581578947,7.518573493,0,0,71,19636,51.67368421,77.63060383,23,0,750,3120,8.210526316,18.5313795,3,0,176,93,0.244736842,0.898899171,0,0,7,830,2.184210526,4.903045541,0,0,38,18347,48.28157895,211.6233827,1,0,1025,2100,5.526315789,20.43425243,0,0,244,1795,4.723684211,8.392732571,3,0,107,238,0.626315789,1.314559069,0,0,9,590,1.552631579,5.685223027,0,0,67,300,0.789473684,1.723007353,0,0,15,3266,8.594736842,17.52130926,3,0,172,0,0,0,0,0,0,13173,34.66578947,320.7356837,0,0,5909,193,0.507894737,1.718267763,0,0,16,2459,6.471052632,18.41064003,2,0,221,-28,-0.099644128,0.300059306,0,-1,0
algebird-core,0.13.0,34,"Feb, 2017",5,7,1.4,1.341640786,2,0,3,47,9.4,15.45315502,1,0,36,0,0,0,0,0,0,7,1.4,1.341640786,2,0,3,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52,10.4,8.876936408,6,0,20,421,84.2,50.00199996,64,0,173,43,8.6,9.555103348,3,0,19,7,1.4,2.19089023,0,0,5,0,0,0,0,0,0,4,0.8,1.303840481,0,0,3,57,11.4,24.38852189,0,0,55,0,0,0,0,0,0,9,1.8,3.492849839,0,0,8,0,0,0,0,0,0,51,10.2,10.47377678,6,0,28,2,0.4,0.894427191,0,0,2,0,0,0,0,0,0,4,0.8,1.095445115,0,0,2,0,0,0,0,0,0,28,5.6,4.615192304,4,0,11,0,0,0,0,0,0,44,8.8,9.628083922,6,0,19,3,0.6,1.341640786,0,0,3,101,20.2,11.73456433,19,0,37,48,9.6,8.848728722,6,0,19,278,55.6,27.11641569,49,0,88,98,19.6,12.03328717,20,0,36,1,0.2,0.447213595,0,0,1,0,0,0,0,0,0,20,4,6.708203932,1,0,16,231,46.2,74.25765954,3,0,172,48,9.6,8.734987121,6,0,19,0,0,0,0,0,0,137,27.4,57.97240723,0,0,131,7,1.4,1.341640786,2,0,3,137,27.4,47.99270778,6,0,113,0,0,0,0,0,0,16,3.2,6.610597552,0,0,15,4,0.8,0.836660027,1,0,2,34,6.8,8.871302046,1,0,20,0,0,0,0,0,0
amazon-kinesis-client,1.6.1,12,"Sep, 2015",99,383,3.868686869,4.572871345,2,0,26,306,3.090909091,5.223750527,1,0,29,39,0.393939394,1.834021909,0,0,17,428,4.323232323,5.603985977,2,0,43,176,1.777777778,1.359438326,1,0,6,0,0,0,0,0,0,4,0.04040404,0.316846448,0,0,3,632,6.383838384,6.530473419,4,0,54,7714,77.91919192,200.3280818,28,0,1907,428,4.323232323,5.95703714,3,0,51,136,1.373737374,1.699855087,1,0,8,3,0.03030303,0.172292197,0,0,1,80,0.808080808,2.609545928,0,0,21,95,0.95959596,2.941328285,0,0,24,6,0.060606061,0.424220337,0,0,4,216,2.181818182,4.151133694,0,0,28,26,0.262626263,1.208691809,0,0,8,863,8.717171717,11.84167701,4,0,72,106,1.070707071,2.237220055,0,0,13,0,0,0,0,0,0,149,1.505050505,2.417511528,1,0,18,0,0,0,0,0,0,580,5.858585859,5.744580589,4,0,31,217,2.191919192,4.532595706,0,0,24,64,0.646464646,2.450793838,0,0,20,34,0.343434343,0.960034185,0,0,5,1206,12.18181818,16.28406235,6,0,76,467,4.717171717,6.762804038,2,0,49,8531,86.17171717,70.93429561,65,0,377,1313,13.26262626,16.7798384,7,0,101,94,0.949494949,1.886437834,0,0,11,15,0.151515152,0.690513508,0,0,6,10322,104.2626263,310.1735388,1,0,1025,204,2.060606061,4.125130009,0,0,24,569,5.747474747,5.949349878,4,0,51,0,0,0,0,0,0,247,2.494949495,4.338658067,0,0,24,273,2.757575758,3.692493514,1,0,18,1036,10.46464646,14.97365927,4,0,85,0,0,0,0,0,0,2040,20.60606061,125.4541804,1,0,1239,64,0.646464646,1.409248832,0,0,8,600,6.060606061,10.08617783,1,0,60,0,0,0,0,0,0
amazon-kinesis-client,1.7.5,12,"Apr, 2017",169,703,4.159763314,5.223964007,2,0,35,858,5.076923077,17.38328425,1,0,197,54,0.319526627,1.868832017,0,0,23,791,4.680473373,6.237723926,3,0,58,276,1.633136095,1.261269291,1,0,6,-2,-0.01242236,0.111106798,0,-1,0,4,0.023668639,0.24281736,0,0,3,1252,7.408284024,8.816525475,5,0,74,15329,90.70414201,183.7142451,43,0,1907,883,5.224852071,7.522765299,3,0,70,211,1.24852071,1.425870933,1,0,8,42,0.24852071,1.430039398,0,0,17,206,1.218934911,3.391954248,0,0,30,100,0.591715976,2.276730637,0,0,24,11,0.065088757,0.42457278,0,0,4,294,1.73964497,3.569500748,0,0,28,32,0.189349112,0.981801152,0,0,8,2570,15.20710059,32.02433519,7,0,282,167,0.98816568,2.547146316,0,0,23,98,0.579881657,4.068733567,0,0,50,273,1.615384615,2.703613103,1,0,24,0,0,0,0,0,0,1284,7.597633136,7.983106812,5,0,65,273,1.615384615,4.133198923,0,0,31,120,0.710059172,2.108363306,0,0,20,41,0.24260355,0.80568388,0,0,5,2750,16.27218935,22.25708545,9,0,177,683,4.041420118,7.157542666,2,0,68,14479,85.67455621,76.27250256,63,0,442,2270,13.43195266,17.38250822,7,0,105,156,0.923076923,1.970013295,0,0,12,60,0.355029586,1.135724608,0,0,9,11406,67.49112426,253.3751481,1,0,1025,902,5.337278107,12.27167062,1,0,105,1092,6.461538462,7.792701103,4,0,71,23,0.136094675,0.698083356,0,0,6,411,2.431952663,4.344857014,0,0,25,458,2.710059172,3.850473764,1,0,24,2820,16.68639053,33.48226065,7,0,300,0,0,0,0,0,0,5950,35.20710059,207.77904,1,0,2353,161,0.952662722,2.243537414,0,0,20,1890,11.18343195,26.90075605,3,0,281,-2,-0.01242236,0.111106798,0,-1,0
