project,release,maven_reuse,maven_release,class_count,totalFieldsQty_sum,tcc_sum,privateMethodsQty_sum,mathOperationsQty_sum,synchronizedMethodsQty_sum,staticMethodsQty_sum,privateFieldsQty_sum,dit_sum,tryCatchQty_sum,nosi_sum,visibleFieldsQty_sum,defaultFieldsQty_sum,protectedFieldsQty_sum,comparisonsQty_sum
assertj-core,3.11.1,1694,"Aug, 2018",3754,5,-60,970,1051,73,1874,179,9048,1494,32715,194,318,1916,737
guava,18,5796,"Aug, 2014",6484,35,-952,1655,3215,489,2681,318,10622,2495,24320,1421,32,2287,2545
hibernate-core,4.3.11.Final,229,"Aug, 2015",9242,39,-747,3644,6680,504,1903,1551,15872,2531,12895,1209,416,14383,14121
jackson-databind,2.9.8,3232,"Dec, 2018",3643,3,-1030,405,1151,482,444,1551,7974,605,3415,366,1228,1185,4736
joda-time,2.9.9,1571,"Mar, 2017",556,5,-9,444,4882,95,812,198,1270,1500,10885,238,13,1588,2262
junit,4.12,52685,"Dec, 2014",1193,21,-143,322,263,6,499,243,1769,183,2857,47,21,464,324
lombok,1.18.12,1757,"Feb, 2020",2690,6,-282,797,1332,28,1048,232,1990,550,4634,547,19,1398,3545
mockito-all,1.10.19,4908,"Dec, 2014",1493,2,204.9669667,515,1300,15,588,258,2490,499,4856,653,45,1371,1747
mockito-core,1.10.19,5537,"Dec, 2014",1493,2,-148,515,1300,15,588,258,2490,499,4856,653,45,1371,1747
mockrunner,1.0.6,0,"Mar, 2015",909,106,-83,529,1111,123,160,65,1238,916,1221,57,13,1485,1890
mysql-connector-java,5.1.38,314,"Dec, 2015",607,276,-11,523,4276,145,422,1133,1090,1855,5616,300,293,1210,4186
okhttp,3.10.0,643,"Feb, 2018",743,104,-14,614,1620,10,316,294,961,698,3302,507,7,863,1330
plexus-utils,3.0.8,342,"Sep, 2012",159,9,-4,182,1092,21,496,75,268,158,1405,66,148,282,1153
powermock-api-easymock,1.6.4,156,"Dec, 2015",1109,173,-82,405,1036,44,659,116,1307,413,4996,397,15,705,1265
powermock-api-mockito,1.6.5,451,"Apr, 2016",1637,173,-100,703,2158,59,967,373,1930,464,6171,829,52,1330,2770
powermock-core,1.6.4,105,"Dec, 2015",1109,173,-82,405,1036,44,659,116,1307,413,4996,397,15,705,1265
powermock-module-junit4,2.0.2,510,"Apr, 2019",1267,170,-130,551,416,33,758,118,1546,335,4099,60,13,729,719
scala-library,2.11.8,7388,"Mar, 2016",512,63,-132,118,658,136,355,64,519,152,807,122,14,242,847
spock-core,0.7-groovy-2.0,592,"Oct, 2012",408,7,-14,360,210,22,248,134,596,105,720,23,27,478,549
spock-spring,0.7-groovy-2.0,18,"Oct, 2012",408,7,-14,360,210,22,248,134,596,105,720,23,27,478,549
spring-beans,5.1.5.RELEASE,557,"Feb, 2019",13171,61,-1595,4452,9271,934,3055,1964,21944,3684,30711,997,673,14437,15153
spring-boot-autoconfigure,2.1.3.RELEASE,840,"Feb, 2019",7564,13,-1121,4033,3094,168,869,418,9874,1034,7252,115,21,7656,3351
spring-boot-configuration-processor,2.1.6.RELEASE,559,"Jun, 2019",7614,14,-1121,4065,3119,168,871,418,9958,1063,7309,115,21,7702,3374
spring-boot-starter,2.1.6.RELEASE,568,"Jun, 2019",7614,14,-1121,4065,3119,168,871,418,9958,1063,7309,115,21,7702,3374
spring-boot-starter-test,2.1.1.RELEASE,845,"Nov, 2018",7556,13,-1117,4023,3089,168,866,415,9867,1066,7186,115,21,7645,3348
spring-boot-starter-web,2.1.3.RELEASE,695,"Feb, 2019",7564,13,-1121,4033,3094,168,869,418,9874,1034,7252,115,21,7656,3351
spring-context,5.1.5.RELEASE,799,"Feb, 2019",13171,61,-1595,4452,9271,934,3055,1964,21944,3684,30711,997,673,14437,15153
spring-core,5.1.5.RELEASE,641,"Feb, 2019",13171,61,-1595,4452,9271,934,3055,1964,21944,3684,30711,997,673,14437,15153
spring-test,4.3.18.RELEASE,683,"Jun, 2018",13050,65,-1464,3390,8783,930,2562,1951,21591,3792,24993,872,669,12984,13896
spring-web,5.2.5.RELEASE,555,"Mar, 2020",13994,67,-1878,5077,9682,964,3409,1821,23181,2812,33198,1118,686,15188,15885
spring-webmvc,5.2.5.RELEASE,446,"Mar, 2020",13994,67,-1878,5077,9682,964,3409,1821,23181,2812,33198,1118,686,15188,15885
testng,6.14.3,1332,"Apr, 2018",1925,12,-91,914,1837,9,1124,302,2614,248,7549,156,91,1795,1668
