project,release,maven_reuse,maven_release,anonymousClassesQty_average,defaultMethodsQty_max,uniqueWordsQty_median,privateMethodsQty_sum,maxNestedBlocksQty_average,visibleFieldsQty_max,numbersQty_sum,innerClassesQty_average
akka-testkit,2.4.20,258,"Aug, 2017",0.305113881,42,14,1932,0.775676837,39,16203,0.523420713
assertj-core,3.11.1,1694,"Aug, 2018",0.05274374,166,30,970,0.302344166,8,12550,0.045551412
commons-codec,1.1,3003,"Nov, 2014",0.113333333,8,63.5,137,1.193333333,8,16922,0.12
hamcrest-core,1.3,3616,"Jul, 2012",0.102678571,6,32,79,0.450892857,2,444,0.223214286
hamcrest-library,1.3,4555,"Jul, 2012",0.102678571,6,32,79,0.450892857,2,444,0.223214286
hibernate-core,4.3.11.Final,229,"Aug, 2015",0.093489329,368,24,3644,0.554761131,122,23111,0.135088289
jackson-core,2.9.8,1338,"Dec, 2018",0.028169014,17,58.5,561,1.330985915,8,6558,0.154929577
joda-time,2.9.9,1571,"Mar, 2017",0.143884892,41,68,444,0.978417266,15,48565,0.264388489
lombok,1.18.12,1757,"Feb, 2020",0.136269787,25,11,797,0.712319339,12,3715,0.303509979
mysql-connector-java,5.1.38,314,"Dec, 2015",0.280065898,79,32,523,1.406919275,63,17580,0.156507414
okhttp,3.10.0,643,"Feb, 2018",0.406460296,18,19,614,0.855989233,29,6043,0.203230148
play-test,2.5.12,437,"Jan, 2017",0.095238095,49,15,141,0.448979592,67,1021,0.361904762
plexus-utils,3.0.8,342,"Sep, 2012",0.031446541,37,43,182,1.471698113,17,2239,0.182389937
powermock-api-mockito,1.6.5,451,"Apr, 2016",0.129310345,24,21,703,0.555702918,217,6453,0.108753316
spock-core,0.7-groovy-2.0,592,"Oct, 2012",0.100490196,51,21,360,0.808823529,4,458,0.056372549
spock-spring,0.7-groovy-2.0,18,"Oct, 2012",0.100490196,51,21,360,0.808823529,4,458,0.056372549
spring-beans,5.1.5.RELEASE,557,"Feb, 2019",0.098623679,100,23,4452,0.560337617,228,28969,0.403239297
spring-boot-autoconfigure,2.1.3.RELEASE,840,"Feb, 2019",0.029560586,13,18,4033,0.403062583,11,6538,0.446071904
spring-boot-configuration-processor,2.1.6.RELEASE,559,"Jun, 2019",0.03016272,13,18,4065,0.404286281,11,6588,0.446090753
spring-boot-starter,2.1.6.RELEASE,568,"Jun, 2019",0.03016272,13,18,4065,0.404286281,11,6588,0.446090753
spring-boot-starter-test,2.1.1.RELEASE,845,"Nov, 2018",0.03252466,13,18,4023,0.403359104,11,6426,0.443481738
spring-boot-starter-web,2.1.3.RELEASE,695,"Feb, 2019",0.029560586,13,18,4033,0.403062583,11,6538,0.446071904
spring-context,5.1.5.RELEASE,799,"Feb, 2019",0.098623679,100,23,4452,0.560337617,228,28969,0.403239297
spring-core,5.1.5.RELEASE,641,"Feb, 2019",0.098623679,100,23,4452,0.560337617,228,28969,0.403239297
spring-test,4.3.18.RELEASE,683,"Jun, 2018",0.163422328,100,20,3390,0.541509579,223,26734,0.370316227
spring-web,5.2.5.RELEASE,555,"Mar, 2020",0.091162591,168,23,5077,0.543114543,234,30444,0.41977692
spring-webmvc,5.2.5.RELEASE,446,"Mar, 2020",0.091162591,168,23,5077,0.543114543,234,30444,0.41977692
