project,release,maven_reuse,maven_release,class_count,publicFieldsQty_sum,publicFieldsQty_average,publicFieldsQty_stdev,publicFieldsQty_median,publicFieldsQty_min,publicFieldsQty_max,totalFieldsQty_sum,totalFieldsQty_average,totalFieldsQty_stdev,totalFieldsQty_median,totalFieldsQty_min,totalFieldsQty_max,finalFieldsQty_sum,finalFieldsQty_average,finalFieldsQty_stdev,finalFieldsQty_median,finalFieldsQty_min,finalFieldsQty_max,lambdasQty_sum,lambdasQty_average,lambdasQty_stdev,lambdasQty_median,lambdasQty_min,lambdasQty_max,anonymousClassesQty_sum,anonymousClassesQty_average,anonymousClassesQty_stdev,anonymousClassesQty_median,anonymousClassesQty_min,anonymousClassesQty_max,wmc_sum,wmc_average,wmc_stdev,wmc_median,wmc_min,wmc_max,protectedMethodsQty_sum,protectedMethodsQty_average,protectedMethodsQty_stdev,protectedMethodsQty_median,protectedMethodsQty_min,protectedMethodsQty_max,defaultMethodsQty_sum,defaultMethodsQty_average,defaultMethodsQty_stdev,defaultMethodsQty_median,defaultMethodsQty_min,defaultMethodsQty_max,loopQty_sum,loopQty_average,loopQty_stdev,loopQty_median,loopQty_min,loopQty_max,tcc_sum,tcc_average,tcc_stdev,tcc_median,tcc_max,staticFieldsQty_sum,staticFieldsQty_average,staticFieldsQty_stdev,staticFieldsQty_median,staticFieldsQty_min,staticFieldsQty_max,uniqueWordsQty_sum,uniqueWordsQty_average,uniqueWordsQty_stdev,uniqueWordsQty_median,uniqueWordsQty_min,uniqueWordsQty_max,privateMethodsQty_sum,privateMethodsQty_average,privateMethodsQty_stdev,privateMethodsQty_median,privateMethodsQty_min,privateMethodsQty_max,mathOperationsQty_sum,mathOperationsQty_average,mathOperationsQty_stdev,mathOperationsQty_median,mathOperationsQty_min,mathOperationsQty_max,stringLiteralsQty_sum,stringLiteralsQty_average,stringLiteralsQty_stdev,stringLiteralsQty_median,stringLiteralsQty_min,stringLiteralsQty_max,synchronizedFieldsQty_sum,synchronizedFieldsQty_average,synchronizedFieldsQty_stdev,synchronizedFieldsQty_median,synchronizedFieldsQty_min,synchronizedFieldsQty_max,modifiers_sum,modifiers_average,modifiers_stdev,modifiers_median,modifiers_max,lcc_stdev,lcc_median,lcc_max,synchronizedMethodsQty_sum,synchronizedMethodsQty_average,synchronizedMethodsQty_stdev,synchronizedMethodsQty_median,synchronizedMethodsQty_min,synchronizedMethodsQty_max,assignmentsQty_sum,assignmentsQty_average,assignmentsQty_stdev,assignmentsQty_median,assignmentsQty_min,assignmentsQty_max,parenthesizedExpsQty_sum,parenthesizedExpsQty_average,parenthesizedExpsQty_stdev,parenthesizedExpsQty_median,parenthesizedExpsQty_min,parenthesizedExpsQty_max,cbo_sum,cbo_average,cbo_stdev,cbo_median,cbo_min,cbo_max,publicMethodsQty_sum,publicMethodsQty_average,publicMethodsQty_stdev,publicMethodsQty_median,publicMethodsQty_min,publicMethodsQty_max,maxNestedBlocksQty_sum,maxNestedBlocksQty_average,maxNestedBlocksQty_stdev,maxNestedBlocksQty_median,maxNestedBlocksQty_min,maxNestedBlocksQty_max,lcom_sum,lcom_average,lcom_stdev,lcom_median,lcom_min,lcom_max,staticMethodsQty_sum,staticMethodsQty_average,staticMethodsQty_stdev,staticMethodsQty_median,staticMethodsQty_min,staticMethodsQty_max,privateFieldsQty_sum,privateFieldsQty_average,privateFieldsQty_stdev,privateFieldsQty_median,privateFieldsQty_min,privateFieldsQty_max,logStatementsQty_sum,logStatementsQty_average,logStatementsQty_stdev,logStatementsQty_median,logStatementsQty_min,logStatementsQty_max,dit_sum,dit_average,dit_stdev,dit_median,dit_min,dit_max,finalMethodsQty_sum,finalMethodsQty_average,finalMethodsQty_stdev,finalMethodsQty_median,finalMethodsQty_min,finalMethodsQty_max,tryCatchQty_sum,tryCatchQty_average,tryCatchQty_stdev,tryCatchQty_median,tryCatchQty_min,tryCatchQty_max,loc_sum,loc_average,loc_stdev,loc_median,loc_min,loc_max,nosi_sum,nosi_average,nosi_stdev,nosi_median,nosi_min,nosi_max,abstractMethodsQty_sum,abstractMethodsQty_average,abstractMethodsQty_stdev,abstractMethodsQty_median,abstractMethodsQty_min,abstractMethodsQty_max,variablesQty_sum,variablesQty_average,variablesQty_stdev,variablesQty_median,variablesQty_min,variablesQty_max,visibleFieldsQty_sum,visibleFieldsQty_average,visibleFieldsQty_stdev,visibleFieldsQty_median,visibleFieldsQty_min,visibleFieldsQty_max,returnQty_sum,returnQty_average,returnQty_stdev,returnQty_median,returnQty_min,returnQty_max,defaultFieldsQty_sum,defaultFieldsQty_average,defaultFieldsQty_stdev,defaultFieldsQty_median,defaultFieldsQty_min,defaultFieldsQty_max,numbersQty_sum,numbersQty_average,numbersQty_stdev,numbersQty_median,numbersQty_min,numbersQty_max,rfc_sum,rfc_average,rfc_stdev,rfc_median,rfc_min,rfc_max,protectedFieldsQty_sum,protectedFieldsQty_average,protectedFieldsQty_stdev,protectedFieldsQty_median,protectedFieldsQty_min,protectedFieldsQty_max,innerClassesQty_sum,innerClassesQty_average,innerClassesQty_stdev,innerClassesQty_median,innerClassesQty_min,innerClassesQty_max,comparisonsQty_sum,comparisonsQty_average,comparisonsQty_stdev,comparisonsQty_median,comparisonsQty_min,comparisonsQty_max,totalMethodsQty_sum,totalMethodsQty_average,totalMethodsQty_stdev,totalMethodsQty_median,totalMethodsQty_min,totalMethodsQty_max
akka-testkit,2.4.20,258,"Aug, 2017",2338,1795,0.771379459,2.673906095,0,0,45,14,0.00601633,0.130998827,0,0,5,2026,0.870648904,1.911415825,0,0,21,910,0.391061453,1.959843432,0,0,36,710,0.305113881,1.327882278,0,0,36,33238,14.28362699,29.22179841,2,0,359,804,0.345509239,0.944325172,0,0,10,1663,0.714654061,2.685470147,0,0,42,727,0.312419424,1.321798047,0,0,23,-167,-0.12565839,0.331588738,0,0,4937,2.121615814,4.190774309,0,0,45,79570,34.19424151,51.13601223,14,0,750,1932,0.830253545,1.905094558,0,0,17,955,0.410399656,2.490831712,0,0,67,4849,2.083798883,8.470439703,0,0,221,0,0,0,0,0,0,69000,29.65191233,152.6089958,1,1033,0.331588738,0,0,950,0.408250967,1.036762269,0,0,15,21846,9.388053287,19.55127074,1,0,198,6709,2.883111302,8.205973913,0,0,100,14078,6.049849592,7.039020876,3,0,38,13937,5.989256554,11.6864807,1,0,134,1805,0.775676837,1.242155663,0,0,6,188028,80.80275032,321.3508986,0,0,8598,3197,1.373871938,3.851205628,0,0,53,1006,0.432316287,1.234898427,0,0,18,117,0.05027933,0.377299381,0,0,7,5281,2.269445638,3.19501288,1,0,59,42,0.01804899,0.431579087,0,0,20,470,0.201976794,0.544285922,0,0,7,308646,132.6368715,633.4295216,13,0,16208,5558,2.388483025,5.622734046,0,0,75,16764,7.204125483,12.38178912,1,0,135,12479,5.362698754,10.91942431,1,0,204,511,0.219596046,1.091825804,0,0,39,16182,6.954018049,15.38242903,1,0,177,30,0.012892136,0.270038082,0,0,10,16203,6.963042544,17.48723674,0,0,244,25549,10.97937258,19.19346462,3,0,217,3390,1.456811345,3.343954745,0,0,45,1218,0.523420713,2.217385535,0,0,38,6899,2.964761495,8.89339535,0,0,143,18336,7.879673399,13.91492868,1,0,152
argonaut,6.1,77,"Apr, 2015",0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
assertj-core,3.11.1,1694,"Aug, 2018",3754,772,0.20564731,0.845867413,0,0,22,5,0.001331913,0.081606146,0,0,5,1056,0.281299947,0.847709293,0,0,15,3968,1.05700586,3.144440098,0,0,80,198,0.05274374,0.742949226,0,0,27,22463,5.983750666,11.68094375,3,0,190,2708,0.721363879,1.176706443,0,0,35,595,0.158497603,3.251624199,0,0,166,238,0.063399041,0.725044175,0,0,24,-60,-0.018826483,0.135933234,0,0,2607,0.694459243,1.327579988,0,0,22,150411,40.06686201,45.23415769,30,0,794,970,0.25839105,1.178834648,0,0,30,1051,0.279968034,1.082864819,0,0,26,20392,5.432072456,24.67451416,1,0,1031,0,0,0,0,0,0,151719,40.41529036,195.9704646,1,1025,0.135933234,0,0,73,0.019445924,0.489043408,0,0,17,10651,2.837240277,6.069750751,1,0,121,171,0.045551412,0.373378262,0,0,8,26857,7.154235482,7.281623108,6,0,140,14479,3.856952584,7.952935491,2,0,166,1135,0.302344166,0.568710606,0,0,6,130909,34.87187001,413.0845882,1,0,13861,1874,0.499200852,4.694972327,0,0,166,179,0.047682472,0.309914696,0,0,4,7,0.001864678,0.071127622,0,0,3,9048,2.410229089,1.260209804,2,0,7,39,0.010388918,0.148349865,0,0,4,1494,0.397975493,1.151398854,0,0,15,97111,25.86867342,44.29821144,12,0,820,32715,8.714704315,20.02520027,2,0,515,17788,4.73841236,8.552016682,3,0,167,10386,2.766648908,6.168207608,1,0,133,194,0.05167821,0.336109315,0,0,8,7829,2.085508791,7.744754922,1,0,155,318,0.084709643,0.580586162,0,0,14,12550,3.343100693,13.5353411,0,0,421,34899,9.296483751,15.80161966,6,0,444,1916,0.510388918,1.10784029,0,0,22,171,0.045551412,0.368348989,0,0,9,737,0.196323921,1.237601368,0,0,31,18752,4.995205115,8.911291419,3,0,167
circe-core,0.13.0,277,"Feb, 2020",0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
clojure,1.8.0,4109,"Jan, 2016",792,574,0.724747475,5.347588862,0,0,114,18,0.022727273,0.260289902,0,0,5,924,1.166666667,5.425509816,0,0,113,0,0,0,0,0,0,50,0.063131313,0.448122131,0,0,7,10634,13.42676768,47.77970085,1,0,591,64,0.080808081,0.88449796,0,0,23,848,1.070707071,2.107130872,1,0,36,697,0.880050505,4.02262954,0,0,70,-21,-0.066666667,0.249840714,0,0,1586,2.002525253,10.11188952,0,0,214,20348,25.69191919,52.53231897,7,0,582,237,0.299242424,1.378028578,0,0,14,1652,2.085858586,13.3116947,0,0,273,1575,1.988636364,12.73819315,0,0,250,0,0,0,0,0,0,31247,39.45328283,178.5375846,9,1033,0.249840714,0,0,113,0.142676768,1.004967136,0,0,12,11369,14.35479798,137.770799,0,0,3718,1484,1.873737374,11.9566946,0,0,209,2899,3.660353535,7.267999158,0,0,98,2982,3.765151515,15.55684971,0,0,299,617,0.779040404,1.576667769,0,0,11,106917,134.9962121,2062.263326,0,0,47266,1003,1.266414141,14.64639195,0,0,308,341,0.430555556,2.244301832,0,0,42,0,0,0,0,0,0,1242,1.568181818,2.470129562,1,0,48,20,0.025252525,0.361719013,0,0,7,121,0.152777778,0.858153347,0,0,12,43223,54.57449495,253.720756,3.5,0,5578,7897,9.970959596,136.3446511,0,0,3759,3904,4.929292929,16.36761783,1,0,308,4605,5.814393939,22.08355916,0,0,280,975,1.231060606,8.63845487,0,0,214,4188,5.287878788,24.85844536,0,0,408,16,0.02020202,0.193695734,0,0,2,3990,5.037878788,30.8202009,0,0,534,4912,6.202020202,18.49535004,0,0,230,254,0.320707071,2.027167069,0,0,41,571,0.720959596,12.96973683,0,0,358,2529,3.193181818,12.61024422,0,0,224,4131,5.215909091,16.70007909,1,0,308
clojurescript,1.9.946,,,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
commons-codec,1.1,3003,"Nov, 2014",150,256,1.706666667,2.993385699,0,0,18,2,0.013333333,0.163299316,0,0,2,339,2.26,3.42205637,1,0,19,0,0,0,0,0,0,17,0.113333333,0.855590904,0,0,10,2673,17.82,28.2051616,8,0,262,52,0.346666667,0.955286715,0,0,7,51,0.34,1.015517192,0,0,8,223,1.486666667,2.526999618,0,0,9,-3,-0.025,0.156779565,0,0,366,2.44,3.482419895,1,0,19,15136,100.9066667,198.1907544,63.5,0,2322,137,0.913333333,2.634150186,0,0,27,628,4.186666667,14.41633426,0,0,144,10304,68.69333333,346.8953955,3,0,3665,0,0,0,0,0,0,7540,50.26666667,216.7157439,1,1033,0.156779565,0,0,100,0.666666667,7.517912986,0,0,92,3498,23.32,68.6309379,5,0,724,318,2.12,11.1059087,0,0,111,515,3.433333333,2.648075575,3,0,12,1105,7.366666667,11.08927571,4,0,92,179,1.193333333,1.482319363,1,0,7,14075,93.83333333,400.5004825,4,0,4278,236,1.573333333,6.063806883,0,0,54,35,0.233333333,0.965280963,0,0,6,0,0,0,0,0,0,199,1.326666667,0.670536865,1,0,4,15,0.1,0.610314035,0,0,6,97,0.646666667,1.687445417,0,0,10,13312,88.74666667,140.4674453,37.5,0,1017,1879,12.52666667,49.12560216,1,0,560,1217,8.113333333,11.1707532,5,0,93,1697,11.31333333,17.75415129,4,0,120,37,0.246666667,0.881857913,0,0,8,718,4.786666667,9.213782109,1,0,54,14,0.093333333,0.559801819,0,0,5,16922,112.8133333,902.691913,2,0,10916,1527,10.18,12.08974828,6,0,56,280,1.866666667,3.207932004,0,0,19,18,0.12,0.517090466,0,0,4,409,2.726666667,6.657383918,0,0,62,1345,8.966666667,11.7304266,6,0,93
commons-collections,3.2.1,,,741,304,0.41025641,0.969314366,0,0,11,16,0.021592443,0.288646705,0,0,6,478,0.645074224,1.155278439,0,0,11,0,0,0,0,0,0,81,0.109311741,0.651552977,0,0,11,11591,15.64237517,26.35773207,9,0,317,530,0.715249663,2.082396514,0,0,34,143,0.192982456,0.864778919,0,0,11,903,1.218623482,6.028152758,0,0,142,145.7366914,0.221484333,0.346215437,0,1,1041,1.4048583,2.067947968,1,0,19,50663,68.37112011,73.32754121,47,0,493,349,0.470985155,2.248911503,0,0,38,848,1.14439946,4.488957812,0,0,67,6565,8.859649123,38.80546429,0,0,622,0,0,0,0,0,0,64156,86.5802969,278.9986256,1,1036,0.372895565,0,1,31,0.041835358,0.388523024,0,0,7,8242,11.12280702,27.42335325,3,0,485,1021,1.377867746,4.547080595,0,0,52,3145,4.244264507,4.089338168,3,0,38,5636,7.605937922,8.621385563,5,0,70,669,0.902834008,1.031270568,1,0,6,40443,54.57894737,190.7223701,6,0,2346,796,1.074224022,3.981531296,0,0,68,58,0.078272605,0.38107279,0,0,5,0,0,0,0,0,0,1691,2.282051282,1.759933691,2,0,19,30,0.04048583,0.281850605,0,0,4,839,1.132253711,5.520115443,0,0,106,60560,81.72739541,159.5621752,33,0,2000,2509,3.385964912,19.58176255,0,0,346,6312,8.518218623,9.054266133,6,0,70,6017,8.120107962,19.32713785,3,0,311,96,0.129554656,0.693174009,0,0,8,4615,6.228070175,9.777971391,4,0,99,279,0.376518219,1.20693459,0,0,19,5537,7.472334683,25.56752276,1,0,372,7622,10.28609987,13.08358508,6,0,97,608,0.820512821,1.664870827,0,0,15,191,0.257759784,1.051233433,0,0,10,2049,2.765182186,8.604770966,0,0,102,6658,8.985155196,9.682865663,6,0,70
commons-logging,1.1.1,,,83,67,0.807228916,2.684453123,0,0,16,0,0,0,0,0,0,53,0.638554217,2.051640113,0,0,12,0,0,0,0,0,0,11,0.13253012,0.74524647,0,0,6,1062,12.79518072,25.10357036,5,0,163,54,0.65060241,2.002642979,0,0,10,1,0.012048193,0.10976426,0,0,1,39,0.469879518,1.272000052,0,0,7,3.861215577,0.059403317,0.359280813,0,1,142,1.710843373,3.81757847,0,0,24,7266,87.54216867,122.087264,46,0,804,64,0.771084337,2.510103006,0,0,16,169,2.036144578,7.933328559,0,0,52,930,11.20481928,25.11765439,2,0,153,0,0,0,0,0,0,3255,39.21686747,192.1292786,1,1025,0.374395905,0,1,28,0.337349398,2.114278453,0,0,18,935,11.26506024,18.81429421,4,0,104,78,0.939759036,2.120454378,0,0,9,279,3.361445783,2.671339818,3,0,11,455,5.481927711,6.018997254,4,0,22,64,0.771084337,1.202895908,0,0,6,3592,43.27710843,101.7287538,1,0,612,86,1.036144578,3.307219682,0,0,29,33,0.397590361,1.351961168,0,0,8,210,2.530120482,6.313627053,0,0,31,165,1.987951807,1.00600606,2,0,5,9,0.108433735,0.781056948,0,0,7,79,0.951807229,2.722550877,0,0,19,5009,60.34939759,105.4963222,28,0,697,441,5.313253012,17.63168414,1,0,149,514,6.192771084,6.831522759,4,0,25,708,8.530120482,13.1967636,3,0,74,1,0.012048193,0.10976426,0,0,1,257,3.096385542,6.181432579,1,0,38,49,0.590361446,1.689538432,0,0,10,165,1.987951807,6.09976804,0,0,48,1136,13.68674699,16.31319062,7,0,74,59,0.710843373,1.884015694,0,0,13,7,0.084337349,0.389020636,0,0,3,173,2.084337349,6.905644244,0,0,48,574,6.915662651,8.059541867,4,0,37
easymock,3.1,,,304,97,0.319078947,0.689500087,0,0,5,0,0,0,0,0,0,179,0.588815789,1.030239124,0,0,5,0,0,0,0,0,0,43,0.141447368,0.652281508,0,0,6,2593,8.529605263,14.47448347,4,0,161,41,0.134868421,0.485670557,0,0,4,135,0.444078947,2.829039267,0,0,36,99,0.325657895,1.326002788,0,0,15,66.60596169,0.315668065,0.581986009,0.2857143,1,311,1.023026316,1.355637071,1,0,9,9658,31.76973684,35.9111427,23.5,0,347,146,0.480263158,1.56896634,0,0,15,150,0.493421053,1.317547028,0,0,9,2091,6.878289474,23.01029306,1,0,341,0,0,0,0,0,0,12155,39.98355263,192.4556519,1,1033,0.595494628,0.3,1,7,0.023026316,0.170795226,0,0,2,1232,4.052631579,7.157160299,2,0,56,64,0.210526316,1.018842798,0,0,12,1059,3.483552632,4.206673059,2,0,40,1433,4.713815789,10.13768286,2,0,150,145,0.476973684,0.820204466,0,0,5,16279,53.54934211,668.6139875,0,0,11628,237,0.779605263,8.814972552,0,0,152,21,0.069078947,0.396142048,0,0,4,0,0,0,0,0,0,368,1.210526316,0.534383195,1,0,4,11,0.036184211,0.203937913,0,0,2,342,1.125,3.476108936,0,0,35,12953,42.60855263,68.26869883,16,0,590,2087,6.865131579,25.83774393,0,0,376,1615,5.3125,10.41123291,3,0,151,1014,3.335526316,5.695744551,1,0,50,10,0.032894737,0.227419537,0,0,2,602,1.980263158,8.842569101,0,0,142,1,0.003289474,0.057353933,0,0,1,1557,5.121710526,17.89615228,1,0,227,2783,9.154605263,14.91778719,2.5,0,153,279,0.917763158,1.288363865,1,0,9,73,0.240131579,0.862627797,0,0,10,148,0.486842105,1.912221738,0,0,17,1755,5.773026316,10.74660723,3,0,153
